fusion_id,utc_iso,dt_s,max_temp,imagery_fire,raw_signal,window_confirmations,window_fill,decision,thermal_shape,num_detections,thermal_distance_m,imagery_distance_m,thermal_x,thermal_y,thermal_z,imagery_x,imagery_y,imagery_z,inter_drone_dist_m,separation_xy_m,separation_dz_m,fire_window,hit_miss
0,2026-04-06T23:22:04.365Z,0.044320,132.850,True,True,1,1,False,4x4,3,68.9,80.3,34.56,14.48,57.78,-19.53,-9.63,77.34,62.37,59.22,19.56,True,FN
1,2026-04-06T23:22:04.512Z,0.002010,132.911,False,False,1,2,False,3x3,0,66.7,78.1,35.17,11.84,55.40,-14.92,-13.65,75.40,59.66,56.20,20.00,True,FN
2,2026-04-06T23:22:05.014Z,0.000011,130.323,True,True,2,3,True,4x4,2,67.2,78.1,37.55,13.39,54.15,-18.84,-13.53,74.56,65.73,62.49,20.41,True,TP
3,2026-04-06T23:22:10.513Z,0.000012,75.299,True,False,2,4,True,4x4,2,69.3,74.5,42.34,15.23,52.68,-27.60,0.43,69.18,73.37,71.49,16.50,False,FP
4,2026-04-06T23:22:13.014Z,0.000006,134.514,True,True,3,5,True,3x3,2,50.2,81.8,22.84,16.75,41.40,-43.88,-9.98,68.29,76.74,71.88,26.89,True,TP
5,2026-04-06T23:22:18.014Z,0.000007,131.199,False,False,2,5,True,4x4,2,53.4,79.0,25.79,12.61,45.08,-38.38,16.22,67.13,67.95,64.27,22.05,False,FP
6,2026-04-06T23:22:19.514Z,0.000006,74.087,False,False,2,5,True,3x3,1,47.1,81.7,18.10,5.92,43.13,-32.66,16.49,73.02,59.85,51.85,29.89,False,FP
7,2026-04-06T23:22:22.514Z,0.000003,125.248,True,True,2,5,True,1d:4,1,44.1,84.1,16.91,2.50,40.69,-38.07,10.56,74.28,64.93,55.57,33.59,True,TP
8,2026-04-06T23:22:27.504Z,0.000014,72.747,True,False,2,5,True,1d:8,3,46.0,84.4,21.05,3.95,40.67,-42.41,4.84,72.86,71.16,63.47,32.19,True,TP
9,2026-04-06T23:22:28.001Z,0.000067,71.589,False,False,1,5,False,2x4,3,46.0,82.2,20.12,5.39,40.98,-40.40,-0.75,71.64,68.12,60.83,30.66,False,TN
10,2026-04-06T23:22:28.012Z,0.000040,74.339,False,False,1,5,False,2x2,1,47.4,85.1,25.72,2.46,39.74,-43.57,-11.26,72.19,77.73,70.64,32.45,False,TN
11,2026-04-06T23:22:28.516Z,0.000002,131.105,True,True,2,5,True,2x4,1,46.2,85.9,25.49,0.08,38.59,-42.38,-7.41,74.40,77.10,68.28,35.81,True,TP
12,2026-04-06T23:22:33.513Z,0.000058,129.804,True,True,2,5,True,4x4,2,46.6,79.5,21.64,-7.10,40.65,-31.79,-1.08,72.90,62.70,53.77,32.25,True,TP
13,2026-04-06T23:22:34.514Z,0.000023,72.975,False,False,2,5,True,3x3,1,45.9,91.6,20.92,-14.75,38.11,-21.22,-21.93,86.32,64.43,42.75,48.21,False,FP
14,2026-04-06T23:22:39.513Z,0.000808,73.964,False,False,2,5,True,3x3,0,39.8,92.5,15.02,-13.02,34.45,-13.05,-20.61,89.28,62.06,29.08,54.83,False,FP
15,2026-04-06T23:22:40.514Z,0.001075,70.901,True,False,2,5,True,1d:2,1,40.8,90.7,0.41,-23.59,33.27,-11.69,-22.31,87.17,55.26,12.17,53.90,False,FP
16,2026-04-06T23:22:41.514Z,0.000384,70.655,False,False,1,5,False,2x2,1,34.5,93.2,0.96,-17.20,29.91,-7.99,-29.00,88.18,60.12,14.81,58.27,False,TN
17,2026-04-06T23:22:42.012Z,0.000042,73.611,False,False,0,5,False,4x4,2,35.9,93.5,-2.14,-18.45,30.67,-4.16,-28.21,89.10,59.27,9.97,58.43,False,TN
18,2026-04-06T23:22:42.511Z,0.000014,72.046,False,False,0,5,False,1d:2,2,38.2,91.2,-3.28,-19.29,32.86,-7.37,-26.72,86.89,54.69,8.48,54.03,False,TN
19,2026-04-06T23:22:47.514Z,0.000015,127.596,True,True,1,5,False,2x2,2,35.1,100.2,7.99,-9.30,32.88,-18.42,-36.39,91.58,69.84,37.83,58.70,True,FN
20,2026-04-06T23:22:49.513Z,0.000022,72.738,False,False,1,5,False,1d:2,0,37.6,97.0,14.97,-5.03,34.17,-16.42,-28.67,91.22,69.27,39.30,57.05,False,TN
21,2026-04-06T23:22:52.512Z,0.000106,72.389,False,False,1,5,False,1d:8,1,39.0,99.0,13.46,-7.87,35.77,-19.94,-24.77,93.70,68.97,37.43,57.93,False,TN
22,2026-04-06T23:22:53.510Z,0.000707,74.826,False,False,1,5,False,2x4,0,39.3,99.1,13.02,-17.08,32.90,-16.99,-26.96,93.88,68.68,31.59,60.98,False,TN
23,2026-04-06T23:22:54.020Z,0.000003,129.391,True,True,2,5,True,1d:15,1,45.4,95.3,19.43,-26.53,31.26,-15.08,-28.17,89.84,68.01,34.55,58.58,True,TP
24,2026-04-06T23:22:59.501Z,0.000005,137.981,True,True,2,5,True,4x4,2,42.7,94.2,15.90,-25.97,29.93,-15.54,-28.42,88.46,66.48,31.54,58.53,True,TP
25,2026-04-06T23:23:00.016Z,0.000935,72.762,False,False,2,5,True,2x2,3,49.2,97.4,9.79,-33.97,34.21,-23.90,-32.26,88.72,64.10,33.73,54.51,False,FP
26,2026-04-06T23:23:00.511Z,0.000036,73.132,False,False,2,5,True,1d:8,0,53.9,103.7,13.01,-38.74,35.09,-27.06,-35.96,93.47,70.86,40.17,58.38,True,TP
