fusion_id,utc_iso,dt_s,max_temp,imagery_fire,raw_signal,window_confirmations,window_fill,decision,thermal_shape,num_detections,thermal_distance_m,imagery_distance_m,thermal_x,thermal_y,thermal_z,imagery_x,imagery_y,imagery_z,inter_drone_dist_m,separation_xy_m,separation_dz_m,fire_window,hit_miss
0,2026-04-07T09:00:12.514Z,0.001584,71.196,False,False,0,1,False,3x3,3,61.8,86.2,23.37,12.10,55.94,-22.82,-19.90,80.71,61.41,56.19,24.77,False,TN
1,2026-04-07T09:00:14.502Z,0.000643,70.152,False,False,0,2,False,2x4,0,59.6,84.8,23.16,8.69,54.19,-17.17,-16.22,81.42,54.67,47.40,27.23,False,TN
2,2026-04-07T09:00:14.503Z,0.000638,126.424,False,False,0,3,False,2x4,1,61.7,86.0,28.16,7.66,54.41,-26.64,-20.38,79.19,66.36,61.56,24.78,False,TN
3,2026-04-07T09:00:14.518Z,0.000638,73.707,False,False,0,4,False,1d:8,3,61.7,83.8,26.08,6.41,55.51,-20.64,-25.61,77.12,60.62,56.64,21.61,False,TN
4,2026-04-07T09:00:16.502Z,0.000215,73.230,False,False,0,5,False,4x4,3,63.8,87.1,28.69,2.42,56.89,-31.50,-29.41,75.66,70.63,68.09,18.77,False,TN
5,2026-04-07T09:00:16.504Z,0.000003,71.164,False,False,0,5,False,2x2,1,63.7,88.4,31.66,2.72,55.23,-33.65,-29.87,76.11,75.92,72.99,20.88,False,TN
6,2026-04-07T09:00:20.003Z,0.000015,128.355,True,True,1,5,False,2x4,2,62.4,86.8,24.18,-1.71,57.52,-31.27,-31.04,74.79,65.06,62.73,17.27,True,FN
7,2026-04-07T09:00:22.503Z,0.000039,74.066,False,False,1,5,False,3x3,3,60.3,81.3,28.53,-8.90,52.42,-22.05,-25.18,74.13,57.40,53.14,21.71,False,TN
8,2026-04-07T09:00:24.005Z,0.000158,70.581,False,False,1,5,False,1d:8,0,62.3,80.8,33.06,-12.58,51.23,-22.66,-29.29,71.85,61.72,58.17,20.62,False,TN
9,2026-04-07T09:00:24.502Z,0.000460,72.857,False,False,1,5,False,2x4,1,60.8,83.5,32.31,-7.03,50.99,-27.35,-31.07,72.49,67.82,64.32,21.50,False,TN
10,2026-04-07T09:00:24.509Z,0.000401,71.171,False,False,1,5,False,1d:2,0,68.6,86.2,40.84,-10.29,54.17,-26.26,-28.54,77.04,73.20,69.54,22.87,False,TN
11,2026-04-07T09:00:24.510Z,0.000253,129.784,True,True,1,5,False,1d:4,3,65.5,83.3,39.30,-6.61,51.95,-22.24,-30.01,74.41,69.56,65.84,22.46,False,TN
12,2026-04-07T09:00:24.551Z,0.000008,133.853,True,True,2,5,True,2x4,3,69.1,83.8,39.45,-11.61,55.54,-19.73,-36.64,72.78,66.53,64.26,17.24,True,TP
13,2026-04-07T09:00:28.504Z,0.000190,130.552,True,True,3,5,True,2x2,1,68.3,84.2,32.42,-17.24,57.58,-24.17,-37.96,71.20,61.78,60.26,13.62,True,TP
14,2026-04-07T09:00:28.510Z,0.000022,72.656,False,False,3,5,True,3x3,2,66.1,76.4,23.93,-20.07,58.28,-19.43,-29.53,67.69,45.37,44.38,9.41,False,FP
15,2026-04-07T09:00:32.007Z,0.000107,75.652,True,False,3,5,True,1d:4,3,64.9,74.4,21.34,-16.93,58.87,-24.96,-20.74,66.91,47.15,46.46,8.04,False,FP
16,2026-04-07T09:00:33.003Z,0.000119,73.586,False,False,2,5,True,1d:4,3,57.8,74.4,9.87,-10.73,55.93,-26.68,-15.81,67.67,38.72,36.90,11.74,False,FP
17,2026-04-07T09:00:34.507Z,0.000142,128.103,True,True,2,5,True,3x3,2,59.5,71.5,16.96,0.77,57.05,-22.51,-24.34,63.32,47.20,46.78,6.27,True,TP
18,2026-04-07T09:00:36.509Z,0.000151,131.248,True,True,2,5,True,2x2,2,56.6,70.0,15.82,-6.86,53.92,-23.73,-14.79,64.11,41.60,40.34,10.19,True,TP
