fusion_id,utc_iso,dt_s,max_temp,imagery_fire,raw_signal,window_confirmations,window_fill,decision,thermal_shape,num_detections,thermal_distance_m,imagery_distance_m,thermal_x,thermal_y,thermal_z,imagery_x,imagery_y,imagery_z,inter_drone_dist_m,separation_xy_m,separation_dz_m,fire_window,hit_miss
0,2026-04-06T23:46:28.581Z,0.000130,131.527,False,False,0,1,False,4x4,0,65.8,86.5,27.36,6.03,59.48,-28.17,-19.76,79.38,64.38,61.23,19.90,True,FN
1,2026-04-06T23:46:29.004Z,0.000042,73.567,True,False,0,2,False,4x4,3,64.0,87.6,26.24,3.52,58.22,-29.35,-14.75,81.18,62.86,58.52,22.96,True,FN
2,2026-04-06T23:46:32.005Z,0.000016,71.768,False,False,0,3,False,2x2,1,59.6,85.8,28.23,-3.19,52.35,-25.92,-15.20,80.35,62.13,55.47,28.00,False,TN
3,2026-04-06T23:46:33.001Z,0.000015,72.399,False,False,0,4,False,2x2,2,61.6,86.7,36.85,2.74,49.26,-24.26,-18.77,81.12,72.20,64.79,31.86,False,TN
4,2026-04-06T23:46:36.505Z,0.000006,72.655,True,False,0,5,False,2x4,1,58.6,78.8,28.55,11.72,49.81,-14.19,-5.49,77.37,53.69,46.07,27.56,False,TN
5,2026-04-06T23:46:42.004Z,0.000006,134.380,True,True,1,5,False,4x4,2,61.9,79.9,22.02,24.03,52.62,-21.74,-11.06,76.06,60.79,56.09,23.44,True,FN
6,2026-04-06T23:46:43.504Z,0.000230,74.914,False,False,1,5,False,2x2,1,64.2,83.8,20.26,25.18,55.51,-18.58,-18.90,79.47,63.45,58.75,23.96,False,TN
7,2026-04-06T23:46:44.006Z,0.000109,74.495,False,False,1,5,False,4x4,2,67.0,87.0,24.53,29.68,54.78,-15.44,-24.88,81.91,72.87,67.63,27.13,False,TN
8,2026-04-06T23:46:44.503Z,0.000035,72.605,False,False,1,5,False,2x4,3,69.2,85.1,28.00,32.66,54.24,-9.61,-28.89,79.47,76.42,72.13,25.23,False,TN
9,2026-04-06T23:46:45.505Z,0.000003,131.885,True,True,2,5,True,1d:4,1,69.6,84.7,27.96,30.54,55.94,-11.23,-27.82,79.20,74.05,70.30,23.26,True,TP
10,2026-04-06T23:46:51.001Z,0.000005,130.748,True,True,2,5,True,1d:8,2,71.5,86.9,25.86,35.34,56.45,-11.88,-29.20,81.03,78.70,74.76,24.58,True,TP
11,2026-04-06T23:46:51.501Z,0.000004,72.018,False,False,2,5,True,2x4,1,73.5,84.1,28.57,34.77,58.11,-21.25,-35.56,73.18,87.50,86.19,15.07,False,FP
