fusion_id,utc_iso,dt_s,max_temp,imagery_fire,raw_signal,window_confirmations,window_fill,decision,thermal_shape,num_detections,thermal_distance_m,imagery_distance_m,thermal_x,thermal_y,thermal_z,imagery_x,imagery_y,imagery_z,inter_drone_dist_m,separation_xy_m,separation_dz_m,fire_window,hit_miss
0,2026-04-07T11:43:28.430Z,0.320272,73.325,True,False,0,1,False,1d:8,2,67.0,85.6,29.19,6.60,59.88,-26.78,-15.84,79.72,63.48,60.30,19.84,True,FN
1,2026-04-07T11:43:28.501Z,0.171946,134.857,True,True,1,2,False,1d:4,2,65.5,85.6,25.45,2.58,60.28,-26.78,-15.84,79.72,58.70,55.38,19.44,True,FN
2,2026-04-07T11:43:28.644Z,0.000112,134.857,True,True,2,3,True,1d:4,3,65.5,82.7,25.45,2.58,60.28,-28.47,-10.34,76.92,57.89,55.45,16.64,True,TP
3,2026-04-07T11:43:33.502Z,0.000232,131.832,True,True,3,4,True,2x2,3,64.8,79.6,27.42,1.08,58.71,-16.58,-8.45,77.43,48.76,45.02,18.72,True,TP
4,2026-04-07T11:43:34.125Z,0.000020,70.357,False,False,3,5,True,2x2,3,64.7,78.2,30.59,4.88,56.75,-14.75,-5.88,76.53,50.62,46.60,19.78,False,FP
5,2026-04-07T11:43:34.333Z,0.000001,72.734,False,False,3,5,True,4x4,2,57.1,76.0,22.64,5.51,52.17,-12.39,-6.89,74.64,43.43,37.16,22.47,False,FP
6,2026-04-07T11:43:39.008Z,0.000015,72.829,True,False,2,5,True,1d:15,1,60.2,74.8,28.19,4.10,53.08,-11.49,-10.01,73.20,46.67,42.11,20.12,False,FP
7,2026-04-07T11:43:40.004Z,0.000028,74.422,False,False,1,5,False,2x4,0,59.5,72.9,27.52,8.24,52.16,-12.03,-11.53,70.94,48.04,44.22,18.78,False,TN
8,2026-04-07T11:43:40.510Z,0.000101,126.764,False,False,0,5,False,4x4,0,58.5,78.1,31.29,7.05,48.86,-21.19,-19.59,72.57,63.45,58.85,23.71,True,FN
9,2026-04-07T11:43:41.602Z,0.000005,73.560,False,False,0,5,False,3x3,1,63.0,77.7,29.38,21.43,51.51,-15.38,-14.74,74.67,62.03,57.55,23.16,False,TN
10,2026-04-07T11:43:46.506Z,0.000032,124.049,True,True,1,5,False,1d:2,3,66.2,82.2,35.67,25.07,49.83,-9.83,-21.83,78.60,71.40,65.34,28.77,True,FN
11,2026-04-07T11:43:48.112Z,0.000018,70.309,False,False,1,5,False,2x2,0,63.3,93.7,31.66,16.01,52.40,-17.40,-22.68,89.19,72.51,62.48,36.79,False,TN
12,2026-04-07T11:43:53.502Z,0.000046,127.983,False,False,1,5,False,1d:2,0,57.7,97.9,28.25,17.65,47.15,-15.88,-11.69,95.90,72.01,52.99,48.75,True,FN
13,2026-04-07T11:43:55.607Z,0.000013,72.434,False,False,1,5,False,2x2,1,60.0,92.4,25.79,14.87,52.09,-7.48,-0.30,92.11,54.21,36.57,40.02,False,TN
14,2026-04-07T11:43:58.038Z,0.000005,129.569,False,False,1,5,False,3x3,1,63.2,95.6,26.20,11.46,56.31,-12.11,-3.35,94.74,56.25,41.07,38.43,False,TN
15,2026-04-07T11:44:02.508Z,0.000038,71.552,False,False,0,5,False,1d:2,2,61.6,96.3,26.44,11.13,54.56,-16.17,-7.51,94.63,61.39,46.51,40.07,False,TN
16,2026-04-07T11:44:03.009Z,0.000091,72.770,False,False,0,5,False,3x3,1,60.0,99.3,27.75,14.24,51.21,-21.59,-5.43,96.75,69.97,53.12,45.54,False,TN
17,2026-04-07T11:44:03.612Z,0.000000,73.649,False,False,0,5,False,1d:15,1,59.1,93.7,24.05,7.09,53.56,-25.87,-5.07,89.93,62.95,51.38,36.37,False,TN
18,2026-04-07T11:44:08.509Z,0.000004,74.513,False,False,0,5,False,2x4,1,59.4,86.3,19.26,-3.04,56.11,-11.06,5.93,85.39,43.09,31.62,29.28,False,TN
19,2026-04-07T11:44:09.617Z,0.000001,129.370,True,True,1,5,False,1d:4,1,62.0,83.2,20.75,-7.18,57.93,-14.09,-3.03,81.89,42.49,35.09,23.96,True,FN
20,2026-04-07T11:44:14.507Z,0.000035,134.046,False,False,1,5,False,3x3,3,59.7,97.1,9.42,9.98,58.14,-32.80,3.54,91.32,54.08,42.71,33.18,False,TN
21,2026-04-07T11:44:14.616Z,0.000016,72.831,False,False,1,5,False,2x2,1,58.8,101.1,14.76,15.08,54.92,-39.72,12.78,92.08,65.99,54.53,37.16,False,TN
22,2026-04-07T11:44:19.510Z,0.000029,75.843,False,False,1,5,False,1d:15,3,59.9,98.8,19.03,14.76,54.87,-43.20,12.33,87.94,70.51,62.28,33.07,False,TN
23,2026-04-07T11:44:20.112Z,0.000028,72.750,False,False,1,5,False,2x2,1,58.2,99.6,17.97,16.63,52.83,-31.99,11.47,93.64,64.72,50.23,40.81,False,TN
24,2026-04-07T11:44:21.108Z,0.000018,75.226,False,False,0,5,False,2x4,3,63.5,104.6,25.14,15.76,56.15,-39.97,20.67,94.39,75.67,65.29,38.24,False,TN
25,2026-04-07T11:44:23.113Z,0.000011,70.774,True,False,0,5,False,1d:2,2,66.1,97.5,23.29,22.73,57.55,-32.98,15.60,90.39,65.54,56.72,32.84,False,TN
