[CTRL] Starting...
[CTRL] Output dir: /home/diya/wildfire_sim/data_seed6/thermal_delay_50ms
[CTRL] TEMP_THRESHOLD=100.0  TIME_WINDOW=0.5s  (pair dt must be <= 0.5s AND <= 2000.0ms sync threshold)
[CTRL] Monitor: window=10.0s  stop_if_drop>50%
[CTRL] Expected rates: thermal=2.0Hz  imagery=2.0Hz
[CTRL] Phase 4 rolling window: K=5  confirm=2
[CTRL] GPS sync: buffer=10  threshold=2000.0ms
[MONITOR] Waiting 5s for workers to connect...
[SERVER] THERMAL listening on 0.0.0.0:5001
[SERVER] IMAGERY listening on 0.0.0.0:5002
[SERVER] IMAGERY connection from ('10.0.0.3', 53314)
[SERVER] THERMAL connection from ('10.0.0.2', 52726)
[MONITOR] up=10s window=10s thermal=not_started imagery=not_started
[MONITOR] up=20s window=10s thermal=not_started imagery=not_started
[MONITOR] up=30s window=10s thermal=not_started imagery=not_started
[MONITOR] up=40s window=10s thermal=not_started imagery=not_started
[MONITOR] up=50s window=10s thermal=not_started imagery=not_started
[MONITOR] up=60s window=10s thermal=not_started imagery=not_started
[MONITOR] up=70s window=10s thermal=not_started imagery=not_started
[MONITOR] up=80s window=10s thermal=not_started imagery=not_started
[MONITOR] up=90s window=10s thermal=not_started imagery=not_started
[MONITOR] up=100s window=10s thermal=not_started imagery=not_started
[MONITOR] up=110s window=10s thermal=not_started imagery=not_started
[MONITOR] up=120s window=10s thermal=not_started imagery=not_started
[MONITOR] up=130s window=10s thermal=not_started imagery=not_started
[MONITOR] up=140s window=10s thermal=not_started imagery=not_started
[MONITOR] up=150s window=10s thermal=not_started imagery=not_started
[MONITOR] up=160s window=10s thermal=not_started imagery=not_started
[MONITOR] up=170s window=10s thermal=not_started imagery=not_started
[MONITOR] up=180s window=10s thermal=not_started imagery=not_started
[MONITOR] up=190s window=10s thermal=not_started imagery=not_started
[MONITOR] up=200s window=10s thermal=not_started imagery=not_started
[MONITOR] up=210s window=10s thermal=not_started imagery=not_started
[MONITOR] up=220s window=10s thermal=not_started imagery=not_started
[MONITOR] up=230s window=10s thermal=not_started imagery=not_started
[MONITOR] up=240s window=10s thermal=not_started imagery=not_started
[MONITOR] up=250s window=10s thermal=not_started imagery=not_started
[MONITOR] up=260s window=10s thermal=not_started imagery=not_started
[MONITOR] up=270s window=10s thermal=not_started imagery=not_started
[MONITOR] up=280s window=10s thermal=not_started imagery=not_started
[MONITOR] up=290s window=10s thermal=not_started imagery=not_started
[MONITOR] up=300s window=10s thermal=not_started imagery=not_started
[MONITOR] up=310s window=10s thermal=not_started imagery=not_started
[MONITOR] up=320s window=10s thermal=not_started imagery=not_started
[MONITOR] up=330s window=10s thermal=not_started imagery=not_started
[MONITOR] up=340s window=10s thermal=not_started imagery=not_started
[MONITOR] up=350s window=10s thermal=not_started imagery=not_started
[MONITOR] up=360s window=10s thermal=not_started imagery=not_started
[MONITOR] up=370s window=10s thermal=not_started imagery=not_started
[MONITOR] up=380s window=10s thermal=not_started imagery=not_started
[MONITOR] up=390s window=10s thermal=not_started imagery=not_started
[MONITOR] up=400s window=10s thermal=not_started imagery=not_started
[MONITOR] up=410s window=10s thermal=not_started imagery=not_started
[MONITOR] up=420s window=10s thermal=not_started imagery=not_started
[MONITOR] up=430s window=10s thermal=not_started imagery=not_started
[MONITOR] up=440s window=10s thermal=not_started imagery=not_started
[MONITOR] up=450s window=10s thermal=not_started imagery=not_started
[MONITOR] up=460s window=10s thermal=not_started imagery=not_started
[MONITOR] up=470s window=10s thermal=not_started imagery=not_started
[MONITOR] up=480s window=10s thermal=not_started imagery=not_started
[MONITOR] up=490s window=10s thermal=not_started imagery=not_started
