fusion_id,utc_iso,dt_s,max_temp,imagery_fire,raw_signal,window_confirmations,window_fill,decision,thermal_shape,num_detections,thermal_distance_m,imagery_distance_m,fire_window,hit_miss
0,2026-03-04T06:19:41.090Z,0.000181,71.211,False,False,0,1,False,2x2,3,66.9,84.6,False,TN
1,2026-03-04T06:19:42.001Z,0.000070,71.379,False,False,0,2,False,2x2,1,69.3,83.7,False,TN
2,2026-03-04T06:19:42.501Z,0.000061,72.227,False,False,0,3,False,3x3,1,66.9,82.2,False,TN
3,2026-03-04T06:19:46.002Z,0.000013,133.175,True,True,1,4,False,2x4,3,73.0,85.7,True,FN
4,2026-03-04T06:19:52.001Z,0.000029,69.469,False,False,1,5,False,1d:2,1,78.5,80.4,False,TN
5,2026-03-04T06:19:52.501Z,0.000009,132.184,True,True,2,5,True,1d:4,2,82.4,84.5,True,TP
6,2026-03-04T06:19:54.501Z,0.000005,132.222,True,True,3,5,True,3x3,1,86.5,85.4,True,TP
7,2026-03-04T06:19:56.001Z,0.000000,71.801,False,False,3,5,True,4x4,1,83.9,85.1,False,FP
8,2026-03-04T06:20:01.001Z,0.000019,74.162,False,False,2,5,True,3x3,3,85.5,82.9,False,FP
9,2026-03-04T06:20:04.005Z,0.000023,71.724,False,False,2,5,True,2x2,1,85.2,81.4,False,FP
10,2026-03-04T06:20:05.005Z,0.000029,128.493,True,True,2,5,True,1d:4,3,84.5,80.4,True,TP
11,2026-03-04T06:20:05.007Z,0.000011,132.617,False,False,1,5,False,4x4,3,86.4,78.7,False,TN
12,2026-03-04T06:20:09.502Z,0.000011,125.669,True,True,2,5,True,2x4,2,91.2,77.9,True,TP
13,2026-03-04T06:20:10.502Z,0.000005,72.597,True,False,2,5,True,2x4,1,92.9,82.3,True,TP
14,2026-03-04T06:20:13.001Z,0.000001,73.437,False,False,2,5,True,4x4,1,92.1,90.3,False,FP
15,2026-03-04T06:20:18.001Z,0.000002,73.540,False,False,1,5,False,1d:15,1,93.6,93.5,False,TN
16,2026-03-04T06:20:18.501Z,0.000013,133.465,True,True,2,5,True,4x4,3,92.2,89.1,True,TP
17,2026-03-04T06:20:21.501Z,0.000003,69.346,False,False,1,5,False,2x2,0,91.3,92.5,False,TN
