fusion_id,utc_iso,dt_s,max_temp,imagery_fire,raw_signal,window_confirmations,window_fill,decision,thermal_shape,num_detections,thermal_distance_m,imagery_distance_m,fire_window,hit_miss
0,2026-03-04T06:18:21.825Z,0.217565,71.747,False,False,0,1,False,4x4,3,68.4,84.6,False,TN
1,2026-03-04T06:18:22.108Z,0.000022,71.379,False,False,0,2,False,2x2,1,69.3,84.3,False,TN
2,2026-03-04T06:18:23.104Z,0.000012,131.726,False,False,0,3,False,4x4,1,66.9,82.2,False,TN
3,2026-03-04T06:18:25.105Z,0.000001,74.484,True,False,0,4,False,1d:15,1,75.0,76.2,True,FN
4,2026-03-04T06:18:31.503Z,0.000030,76.661,False,False,0,5,False,4x4,3,72.6,77.5,False,TN
5,2026-03-04T06:18:33.104Z,0.000029,74.618,False,False,0,5,False,1d:8,0,85.3,90.5,True,FN
6,2026-03-04T06:18:34.103Z,0.000001,126.426,False,False,0,5,False,3x3,1,86.8,90.2,True,FN
7,2026-03-04T06:18:39.002Z,0.000002,71.801,False,False,0,5,False,4x4,1,83.9,86.8,False,TN
8,2026-03-04T06:18:41.002Z,0.000014,130.193,False,False,0,5,False,1d:4,2,85.3,91.5,False,TN
9,2026-03-04T06:18:43.002Z,0.000027,127.532,True,True,1,5,False,4x4,2,82.3,85.6,True,FN
10,2026-03-04T06:18:44.108Z,0.000004,126.255,False,False,1,5,False,1d:8,1,84.5,85.0,False,TN
11,2026-03-04T06:18:49.102Z,0.000040,73.017,False,False,1,5,False,1d:4,2,84.5,86.2,False,TN
12,2026-03-04T06:18:50.603Z,0.000026,72.597,True,False,1,5,False,2x4,3,92.9,77.8,True,FN
13,2026-03-04T06:18:55.607Z,0.000012,72.797,False,False,1,5,False,1d:15,0,94.4,83.2,False,TN
14,2026-03-04T06:19:00.501Z,0.000047,125.136,False,False,0,5,False,4x4,0,92.0,83.3,True,FN
15,2026-03-04T06:19:01.501Z,0.000241,72.523,True,False,0,5,False,2x4,3,91.0,87.6,False,TN
16,2026-03-04T06:19:02.224Z,0.000094,71.449,False,False,0,5,False,1d:2,1,91.6,88.3,False,TN
17,2026-03-04T06:19:06.227Z,0.000011,131.346,True,True,1,5,False,2x4,2,94.2,95.7,True,FN
18,2026-03-04T06:19:11.003Z,0.000022,72.220,False,False,1,5,False,2x2,1,95.3,92.4,False,TN
19,2026-03-04T06:19:11.103Z,0.000009,73.628,False,False,1,5,False,4x4,1,100.8,89.2,False,TN
20,2026-03-04T06:19:16.003Z,0.000021,132.947,True,True,2,5,True,2x2,2,105.8,87.3,True,TP
21,2026-03-04T06:19:18.003Z,0.001207,71.061,False,False,2,5,True,2x2,0,107.1,93.9,False,FP
22,2026-03-04T06:19:18.103Z,0.000287,73.035,False,False,1,5,False,1d:8,0,107.2,95.6,False,TN
