fusion_id,utc_iso,dt_s,max_temp,imagery_fire,raw_signal,window_confirmations,window_fill,decision,thermal_shape,num_detections,thermal_distance_m,imagery_distance_m,fire_window,hit_miss
0,2026-03-04T06:29:01.589Z,0.012431,71.747,False,False,0,1,False,4x4,3,68.4,84.6,False,TN
1,2026-03-04T06:29:01.793Z,0.002015,71.747,False,False,0,2,False,4x4,1,68.4,84.3,False,TN
2,2026-03-04T06:29:02.106Z,0.000904,71.379,False,False,0,3,False,2x2,1,69.3,83.7,False,TN
3,2026-03-04T06:29:02.604Z,0.000647,72.227,False,False,0,4,False,3x3,1,66.9,82.2,False,TN
4,2026-03-04T06:29:03.104Z,0.000080,131.726,False,False,0,5,False,4x4,3,66.9,83.3,False,TN
5,2026-03-04T06:29:03.603Z,0.000072,71.807,False,False,0,5,False,1d:4,2,69.4,84.5,False,TN
6,2026-03-04T06:29:04.106Z,0.000002,127.176,True,True,1,5,False,4x4,3,74.0,84.0,True,FN
7,2026-03-04T06:29:09.605Z,0.000013,74.484,True,False,1,5,False,1d:15,3,75.0,84.7,True,FN
8,2026-03-04T06:29:10.603Z,0.000060,133.175,True,True,2,5,True,2x4,3,73.0,85.7,True,TP
9,2026-03-04T06:29:12.004Z,0.000313,73.811,False,False,2,5,True,3x3,1,81.1,82.8,False,FP
10,2026-03-04T06:29:16.106Z,0.000250,71.801,False,False,2,5,True,4x4,1,83.9,85.1,False,FP
11,2026-03-04T06:29:18.606Z,0.000133,72.362,False,False,1,5,False,1d:2,2,83.7,83.7,False,TN
12,2026-03-04T06:29:23.101Z,0.000026,74.717,False,False,1,5,False,2x4,2,83.8,78.5,False,TN
13,2026-03-04T06:29:28.102Z,0.000004,126.658,True,True,1,5,False,2x4,3,87.5,73.8,True,FN
14,2026-03-04T06:29:33.608Z,0.000010,129.116,False,False,1,5,False,1d:15,2,92.5,78.5,True,FN
15,2026-03-04T06:29:35.501Z,0.000021,73.879,False,False,1,5,False,4x4,1,94.4,87.8,False,TN
16,2026-03-04T06:29:37.501Z,0.000029,69.376,False,False,1,5,False,2x2,3,92.3,92.3,False,TN
17,2026-03-04T06:29:38.106Z,0.000021,71.933,True,False,1,5,False,1d:4,2,91.8,90.7,True,FN
18,2026-03-04T06:29:39.104Z,0.000015,134.023,False,False,0,5,False,4x4,3,90.4,93.2,False,TN
19,2026-03-04T06:29:43.103Z,0.000001,75.455,False,False,0,5,False,3x3,2,94.8,96.1,False,TN
20,2026-03-04T06:29:48.004Z,0.000075,75.672,False,False,0,5,False,3x3,1,95.5,94.9,False,TN
21,2026-03-04T06:29:49.103Z,0.000042,72.708,False,False,0,5,False,3x3,0,95.0,97.8,False,TN
22,2026-03-04T06:29:50.106Z,0.000012,72.822,False,False,0,5,False,3x3,1,97.0,100.5,False,TN
23,2026-03-04T06:29:55.005Z,0.000075,126.259,True,True,1,5,False,2x2,2,101.0,97.4,True,FN
24,2026-03-04T06:29:55.608Z,0.000016,74.813,False,False,1,5,False,4x4,1,110.9,99.9,False,TN
25,2026-03-04T06:30:00.606Z,0.000017,71.342,True,False,1,5,False,1d:15,3,113.9,103.7,False,TN
26,2026-03-04T06:30:05.001Z,0.000030,74.434,True,False,1,5,False,1d:8,3,107.8,98.2,True,FN
27,2026-03-04T06:30:07.004Z,0.000042,69.622,False,False,1,5,False,2x2,3,109.0,98.0,False,TN
28,2026-03-04T06:30:08.002Z,0.000067,73.296,False,False,0,5,False,2x2,3,107.6,108.5,False,TN
29,2026-03-04T06:30:10.601Z,0.000063,127.220,False,False,0,5,False,1d:15,0,105.8,111.4,True,FN
30,2026-03-04T06:30:13.106Z,0.000018,70.929,False,False,0,5,False,3x3,2,111.1,109.5,False,TN
31,2026-03-04T06:30:16.105Z,0.000015,129.533,True,True,1,5,False,2x4,2,108.3,104.6,True,FN
32,2026-03-04T06:30:17.606Z,0.000006,130.828,True,True,2,5,True,2x2,2,111.1,101.6,True,TP
33,2026-03-04T06:30:22.604Z,0.000008,127.601,False,False,2,5,True,2x4,2,111.2,101.3,False,FP
34,2026-03-04T06:30:26.104Z,0.000036,74.420,True,False,2,5,True,2x2,3,112.7,101.5,True,TP
35,2026-03-04T06:30:29.103Z,0.000009,71.657,False,False,2,5,True,4x4,1,108.3,102.9,False,FP
36,2026-03-04T06:30:34.004Z,0.000013,126.475,True,True,2,5,True,2x4,2,106.7,99.2,True,TP
37,2026-03-04T06:30:34.607Z,0.000002,131.156,True,True,2,5,True,2x2,1,101.4,99.2,True,TP
