fusion_id,utc_iso,dt_s,max_temp,imagery_fire,raw_signal,window_confirmations,window_fill,decision,thermal_shape,num_detections,thermal_distance_m,imagery_distance_m
0,2026-02-27T22:38:21.801Z,0.050819,75.403,False,False,0,1,False,4x4,2,73.9,74.3
1,2026-02-27T22:38:22.288Z,0.552262,69.756,False,False,0,2,False,1d:2,2,75.2,74.3
2,2026-02-27T22:38:22.301Z,0.048160,69.756,False,False,0,3,False,1d:2,0,75.2,73.4
3,2026-02-27T22:38:22.788Z,0.548965,127.710,False,False,0,4,False,2x4,0,70.0,73.4
4,2026-02-27T22:38:23.295Z,1.052888,131.794,False,False,0,5,False,3x3,0,71.2,73.4
5,2026-02-27T22:38:23.310Z,0.045822,131.794,False,False,0,5,False,3x3,0,71.2,73.6
6,2026-02-27T22:38:23.795Z,0.547463,71.984,False,False,0,5,False,1d:4,0,73.8,73.6
7,2026-02-27T22:38:23.812Z,0.044971,71.984,True,False,0,5,False,1d:4,3,73.8,70.2
8,2026-02-27T22:38:24.297Z,0.547015,74.637,True,False,0,5,False,4x4,3,76.5,70.2
9,2026-02-27T22:38:24.312Z,0.046390,74.637,True,False,0,5,False,4x4,3,76.5,73.3
10,2026-02-27T22:38:24.798Z,0.546933,73.233,True,False,0,5,False,1d:15,3,83.1,73.3
11,2026-02-27T22:38:24.817Z,0.041610,73.233,False,False,0,5,False,1d:15,1,83.1,69.5
12,2026-02-27T22:38:25.302Z,0.546914,73.153,False,False,0,5,False,1d:15,1,82.9,69.5
13,2026-02-27T22:38:25.317Z,0.045238,73.153,True,False,0,5,False,1d:15,3,82.9,65.1
14,2026-02-27T22:38:25.804Z,0.546372,72.306,True,False,0,5,False,1d:8,3,85.6,65.1
15,2026-02-27T22:38:26.308Z,1.050997,73.719,True,False,0,5,False,3x3,3,88.0,65.1
16,2026-02-27T22:38:26.320Z,0.047323,73.719,True,False,0,5,False,3x3,3,88.0,63.9
17,2026-02-27T22:38:26.809Z,0.548675,72.323,True,False,0,5,False,1d:8,3,88.8,63.9
18,2026-02-27T22:38:26.828Z,0.044566,72.323,True,False,0,5,False,1d:8,3,88.8,64.7
19,2026-02-27T22:38:27.317Z,0.547602,73.211,True,False,0,5,False,2x4,3,87.7,64.7
20,2026-02-27T22:38:27.327Z,0.046358,73.211,False,False,0,5,False,2x4,0,87.7,69.3
21,2026-02-27T22:38:27.813Z,0.546857,70.492,False,False,0,5,False,1d:2,0,90.1,69.3
22,2026-02-27T22:38:28.317Z,1.051586,126.601,False,False,0,5,False,2x2,0,93.8,69.3
23,2026-02-27T22:38:28.331Z,0.046859,126.601,True,True,1,5,False,2x2,3,93.8,72.9
24,2026-02-27T22:38:28.818Z,0.547537,71.689,True,False,1,5,False,1d:15,3,92.1,72.9
25,2026-02-27T22:38:28.834Z,0.045701,71.689,False,False,1,5,False,1d:15,3,92.1,75.2
26,2026-02-27T22:38:29.333Z,0.455042,71.689,False,False,1,5,False,1d:15,2,92.1,72.7
27,2026-02-27T22:38:29.841Z,0.959079,71.689,True,False,1,5,False,1d:15,3,92.1,72.1
28,2026-02-27T22:38:30.331Z,0.550949,133.233,True,True,1,5,False,4x4,3,96.7,72.1
