fusion_id,utc_iso,dt_s,max_temp,imagery_fire,raw_signal,window_confirmations,window_fill,decision,thermal_shape,num_detections,thermal_distance_m,imagery_distance_m
0,2026-02-27T22:42:39.841Z,0.197083,71.918,True,False,0,1,False,4x4,3,67.4,72.7
1,2026-02-27T22:42:40.147Z,0.304973,127.899,True,True,1,2,False,4x4,3,71.5,72.7
2,2026-02-27T22:42:40.344Z,0.196589,127.899,True,True,2,3,False,4x4,2,71.5,75.5
3,2026-02-27T22:42:40.651Z,0.307131,125.580,True,True,3,4,True,1d:4,2,76.4,75.5
4,2026-02-27T22:42:40.847Z,0.196525,125.580,False,False,3,5,True,1d:4,0,76.4,82.0
5,2026-02-27T22:42:41.155Z,0.307831,69.260,False,False,3,5,True,2x2,0,76.4,82.0
6,2026-02-27T22:42:41.348Z,0.193446,69.260,True,False,2,5,False,2x2,2,76.4,79.7
7,2026-02-27T22:42:41.659Z,0.310804,73.334,True,False,1,5,False,3x3,2,78.3,79.7
8,2026-02-27T22:42:41.853Z,0.193888,73.334,False,False,0,5,False,3x3,2,78.3,77.4
9,2026-02-27T22:42:42.357Z,0.698328,73.334,False,False,0,5,False,3x3,0,78.3,76.6
10,2026-02-27T22:42:42.665Z,0.307288,73.206,False,False,0,5,False,1d:4,0,79.3,76.6
11,2026-02-27T22:42:43.167Z,0.809258,72.929,False,False,0,5,False,2x2,0,77.1,76.6
12,2026-02-27T22:42:43.359Z,0.191821,72.929,False,False,0,5,False,2x2,2,77.1,73.0
13,2026-02-27T22:42:43.671Z,0.312259,130.108,False,False,0,5,False,3x3,2,73.2,73.0
14,2026-02-27T22:42:43.862Z,0.190638,130.108,True,True,1,5,False,3x3,2,73.2,70.3
15,2026-02-27T22:42:44.172Z,0.310023,75.064,True,False,1,5,False,1d:8,2,72.8,70.3
16,2026-02-27T22:42:44.364Z,0.192416,75.064,False,False,1,5,False,1d:8,2,72.8,70.0
17,2026-02-27T22:42:44.866Z,0.694483,75.064,True,False,1,5,False,1d:8,3,72.8,69.5
18,2026-02-27T22:42:45.179Z,0.313453,70.616,True,False,1,5,False,2x4,3,72.5,69.5
19,2026-02-27T22:42:45.367Z,0.187406,70.616,True,False,0,5,False,2x4,3,72.5,67.5
20,2026-02-27T22:42:45.682Z,0.315166,71.160,True,False,0,5,False,2x2,3,69.2,67.5
21,2026-02-27T22:42:45.868Z,0.186139,71.160,False,False,0,5,False,2x2,1,69.2,71.6
22,2026-02-27T22:42:46.183Z,0.314687,73.736,False,False,0,5,False,2x4,1,74.2,71.6
23,2026-02-27T22:42:46.373Z,0.190171,73.736,True,False,0,5,False,2x4,3,74.2,76.8
24,2026-02-27T22:42:46.876Z,0.693009,73.736,False,False,0,5,False,2x4,0,74.2,74.2
25,2026-02-27T22:42:47.188Z,0.311586,127.497,False,False,0,5,False,2x2,0,78.7,74.2
26,2026-02-27T22:42:47.379Z,0.191458,127.497,False,False,0,5,False,2x2,3,78.7,79.5
27,2026-02-27T22:42:47.691Z,0.312003,129.440,False,False,0,5,False,4x4,3,84.1,79.5
28,2026-02-27T22:42:47.883Z,0.190151,129.440,False,False,0,5,False,4x4,0,84.1,79.8
29,2026-02-27T22:42:48.383Z,0.692386,129.440,True,True,1,5,False,4x4,2,84.1,80.1
30,2026-02-27T22:42:48.699Z,0.315479,73.780,True,False,1,5,False,3x3,2,81.9,80.1
31,2026-02-27T22:42:48.884Z,0.185483,73.780,True,False,1,5,False,3x3,3,81.9,83.8
32,2026-02-27T22:42:49.200Z,0.315585,74.567,True,False,1,5,False,4x4,3,82.1,83.8
33,2026-02-27T22:42:49.386Z,0.186014,74.567,False,False,1,5,False,4x4,2,82.1,86.3
34,2026-02-27T22:42:49.701Z,0.315005,73.957,False,False,0,5,False,2x4,2,76.1,86.3
35,2026-02-27T22:42:49.889Z,0.187984,73.957,False,False,0,5,False,2x4,0,76.1,81.4
36,2026-02-27T22:42:50.205Z,0.316122,72.844,False,False,0,5,False,2x4,0,72.7,81.4
37,2026-02-27T22:42:50.393Z,0.187997,72.844,True,False,0,5,False,2x4,3,72.7,80.0
38,2026-02-27T22:42:50.709Z,0.316071,127.054,True,True,1,5,False,1d:4,3,70.2,80.0
39,2026-02-27T22:42:50.896Z,0.186381,127.054,False,False,1,5,False,1d:4,1,70.2,75.9
40,2026-02-27T22:42:51.212Z,0.316319,128.592,False,False,1,5,False,2x2,1,76.6,75.9
41,2026-02-27T22:42:51.398Z,0.186134,128.592,True,True,2,5,False,2x2,2,76.6,76.9
42,2026-02-27T22:42:51.716Z,0.318174,127.890,True,True,3,5,True,4x4,2,76.7,76.9
43,2026-02-27T22:42:52.217Z,0.818983,72.439,True,False,2,5,False,1d:2,2,78.7,76.9
44,2026-02-27T22:42:52.400Z,0.183059,72.439,False,False,2,5,False,1d:2,1,78.7,69.1
45,2026-02-27T22:42:52.721Z,0.321020,74.067,False,False,2,5,False,1d:8,1,80.7,69.1
46,2026-02-27T22:42:52.901Z,0.179894,74.067,True,False,1,5,False,1d:8,2,80.7,63.8
47,2026-02-27T22:42:53.223Z,0.322125,73.756,True,False,0,5,False,3x3,2,83.2,63.8
48,2026-02-27T22:42:53.404Z,0.180890,73.756,False,False,0,5,False,3x3,0,83.2,63.1
49,2026-02-27T22:42:53.726Z,0.322525,71.404,False,False,0,5,False,1d:8,0,83.9,63.1
50,2026-02-27T22:42:53.907Z,0.180587,71.404,True,False,0,5,False,1d:8,3,83.9,60.4
51,2026-02-27T22:42:54.232Z,0.324583,74.287,True,False,0,5,False,2x4,3,86.1,60.4
52,2026-02-27T22:42:54.408Z,0.176307,74.287,True,False,0,5,False,2x4,3,86.1,60.1
53,2026-02-27T22:42:54.736Z,0.328463,73.163,True,False,0,5,False,4x4,3,85.5,60.1
54,2026-02-27T22:42:54.909Z,0.172871,73.163,False,False,0,5,False,4x4,0,85.5,60.5
55,2026-02-27T22:42:55.242Z,0.332536,74.299,False,False,0,5,False,4x4,0,85.2,60.5
56,2026-02-27T22:42:55.411Z,0.169218,74.299,True,False,0,5,False,4x4,3,85.2,57.1
57,2026-02-27T22:42:55.743Z,0.331658,74.119,True,False,0,5,False,1d:15,3,85.6,57.1
58,2026-02-27T22:42:55.912Z,0.169519,74.119,False,False,0,5,False,1d:15,1,85.6,60.8
59,2026-02-27T22:42:56.248Z,0.335876,72.236,False,False,0,5,False,1d:8,1,82.4,60.8
60,2026-02-27T22:42:56.417Z,0.168556,72.236,True,False,0,5,False,1d:8,3,82.4,59.8
61,2026-02-27T22:42:56.918Z,0.669435,72.236,False,False,0,5,False,1d:8,2,82.4,62.6
62,2026-02-27T22:42:57.254Z,0.336116,134.399,False,False,0,5,False,3x3,2,86.4,62.6
63,2026-02-27T22:42:57.421Z,0.167348,134.399,False,False,0,5,False,3x3,3,86.4,62.5
64,2026-02-27T22:42:57.758Z,0.336947,72.524,False,False,0,5,False,2x4,3,85.5,62.5
65,2026-02-27T22:42:57.924Z,0.166404,72.524,True,False,0,5,False,2x4,2,85.5,67.3
66,2026-02-27T22:42:58.264Z,0.338760,75.678,True,False,0,5,False,4x4,2,86.2,67.3
67,2026-02-27T22:42:58.767Z,0.842598,71.748,True,False,0,5,False,2x2,2,88.2,67.3
68,2026-02-27T22:42:58.931Z,0.164024,71.748,False,False,0,5,False,2x2,0,88.2,65.8
69,2026-02-27T22:42:59.272Z,0.341137,74.136,False,False,0,5,False,1d:8,0,87.0,65.8
70,2026-02-27T22:42:59.434Z,0.162380,74.136,False,False,0,5,False,1d:8,0,87.0,67.5
71,2026-02-27T22:42:59.775Z,0.340643,133.016,False,False,0,5,False,1d:8,0,86.2,67.5
72,2026-02-27T22:42:59.935Z,0.160345,133.016,True,True,1,5,False,1d:8,3,86.2,65.5
73,2026-02-27T22:43:00.277Z,0.341068,73.258,True,False,1,5,False,3x3,3,89.8,65.5
74,2026-02-27T22:43:00.440Z,0.163169,73.258,True,False,1,5,False,3x3,3,89.8,61.4
75,2026-02-27T22:43:01.284Z,0.843866,71.496,True,False,1,5,False,1d:2,3,88.9,61.4
76,2026-02-27T22:43:01.785Z,1.345531,132.323,True,True,2,5,False,3x3,3,87.5,61.4
77,2026-02-27T22:43:01.944Z,0.158819,132.323,True,True,2,5,False,3x3,3,87.5,54.2
78,2026-02-27T22:43:02.288Z,0.343475,129.385,True,True,3,5,True,4x4,3,89.9,54.2
79,2026-02-27T22:43:02.448Z,0.160287,129.385,False,False,3,5,True,4x4,0,89.9,59.5
80,2026-02-27T22:43:02.789Z,0.341077,72.304,False,False,3,5,True,1d:8,0,94.9,59.5
81,2026-02-27T22:43:02.950Z,0.160680,72.304,False,False,2,5,False,1d:8,0,94.9,62.4
82,2026-02-27T22:43:03.298Z,0.343797,125.624,False,False,1,5,False,3x3,0,96.5,62.4
83,2026-02-27T22:43:03.451Z,0.157309,125.624,True,True,1,5,False,3x3,2,96.5,60.1
84,2026-02-27T22:43:03.799Z,0.348615,73.049,True,False,1,5,False,3x3,2,94.4,60.1
85,2026-02-27T22:43:03.952Z,0.152333,73.049,False,False,1,5,False,3x3,1,94.4,65.8
86,2026-02-27T22:43:04.301Z,0.349261,70.243,False,False,1,5,False,1d:2,1,95.2,65.8
87,2026-02-27T22:43:04.454Z,0.153088,70.243,True,False,1,5,False,1d:2,1,95.2,62.0
88,2026-02-27T22:43:04.806Z,0.352334,73.963,True,False,0,5,False,3x3,1,99.1,62.0
89,2026-02-27T22:43:04.955Z,0.148635,73.963,False,False,0,5,False,3x3,3,99.1,66.6
90,2026-02-27T22:43:05.309Z,0.354609,73.973,False,False,0,5,False,2x2,3,98.2,66.6
91,2026-02-27T22:43:05.959Z,0.649402,73.973,False,False,0,5,False,2x2,1,98.2,65.3
92,2026-02-27T22:43:06.314Z,0.355225,73.198,False,False,0,5,False,3x3,1,99.8,65.3
93,2026-02-27T22:43:06.462Z,0.148210,73.198,False,False,0,5,False,3x3,3,99.8,62.3
94,2026-02-27T22:43:06.817Z,0.354760,129.929,False,False,0,5,False,1d:2,3,98.9,62.3
95,2026-02-27T22:43:06.965Z,0.148741,129.929,True,True,1,5,False,1d:2,3,98.9,60.6
96,2026-02-27T22:43:07.336Z,0.370484,131.093,True,True,2,5,False,2x2,3,98.6,60.6
97,2026-02-27T22:43:07.466Z,0.129996,131.093,False,False,2,5,False,2x2,0,98.6,59.0
98,2026-02-27T22:43:07.839Z,0.373049,72.471,False,False,2,5,False,4x4,0,95.7,59.0
99,2026-02-27T22:43:08.343Z,0.876938,71.406,False,False,2,5,False,3x3,0,94.5,59.0
100,2026-02-27T22:43:08.469Z,0.125823,71.406,False,False,1,5,False,3x3,0,94.5,60.6
101,2026-02-27T22:43:08.972Z,0.628607,71.406,False,False,0,5,False,3x3,2,94.5,60.9
102,2026-02-27T22:43:09.054Z,0.126904,72.897,False,False,0,5,False,1d:8,2,92.9,60.9
103,2026-02-27T22:43:09.347Z,0.374971,73.974,False,False,0,5,False,1d:2,2,96.8,60.9
