fusion_id,utc_iso,dt_s,max_temp,imagery_fire,raw_signal,window_confirmations,window_fill,decision,thermal_shape,num_detections,thermal_distance_m,imagery_distance_m,fire_window,hit_miss
0,2026-03-04T06:50:52.755Z,0.248598,71.211,False,False,0,1,False,2x2,0,66.9,77.2,False,TN
1,2026-03-04T06:50:54.001Z,0.000518,71.747,False,False,0,2,False,4x4,0,68.4,80.0,False,TN
2,2026-03-04T06:50:56.501Z,0.000060,127.176,False,False,0,3,False,4x4,0,74.0,81.0,False,TN
3,2026-03-04T06:51:00.501Z,0.001092,124.920,True,True,1,4,False,3x3,3,72.9,86.2,True,FN
4,2026-03-04T06:51:00.502Z,0.000013,128.695,True,True,2,5,True,1d:4,2,71.9,90.1,True,TP
5,2026-03-04T06:51:00.503Z,0.000013,132.163,False,False,2,5,True,3x3,2,72.5,92.0,False,FP
6,2026-03-04T06:51:04.001Z,0.000028,69.727,True,False,2,5,True,1d:4,3,74.9,82.8,False,FP
7,2026-03-04T06:51:06.500Z,0.000032,68.920,False,False,2,5,True,1d:2,3,78.0,73.1,False,FP
8,2026-03-04T06:51:06.793Z,0.000016,129.892,True,True,2,5,True,3x3,1,82.1,77.3,True,TP
9,2026-03-04T06:51:10.505Z,0.000016,71.479,False,False,1,5,False,3x3,2,80.9,81.8,False,TN
10,2026-03-04T06:51:14.004Z,0.000027,73.606,False,False,1,5,False,2x4,2,80.9,79.8,False,TN
11,2026-03-04T06:51:15.005Z,0.000035,132.971,True,True,2,5,True,2x4,3,81.1,88.3,True,TP
12,2026-03-04T06:51:16.816Z,0.000006,134.712,True,True,3,5,True,2x4,2,79.3,87.4,True,TP
13,2026-03-04T06:51:20.005Z,0.000030,73.017,True,False,2,5,True,1d:4,2,77.9,92.8,False,FP
14,2026-03-04T06:51:20.823Z,0.000022,72.375,False,False,2,5,True,2x4,1,77.6,96.5,False,FP
15,2026-03-04T06:51:24.504Z,0.000016,129.973,True,True,3,5,True,1d:8,3,82.6,91.4,True,TP
16,2026-03-04T06:51:28.500Z,0.000048,72.934,False,False,2,5,True,4x4,2,82.7,87.1,False,FP
17,2026-03-04T06:51:29.500Z,0.000102,75.669,False,False,1,5,False,3x3,1,78.5,89.3,False,TN
18,2026-03-04T06:51:30.003Z,0.000062,126.970,True,True,2,5,True,1d:8,3,74.7,86.5,True,TP
19,2026-03-04T06:51:30.842Z,0.000006,126.585,True,True,3,5,True,4x4,3,74.8,85.5,True,TP
20,2026-03-04T06:51:34.001Z,0.000085,73.089,False,False,2,5,True,1d:4,1,80.7,89.2,False,FP
21,2026-03-04T06:51:34.501Z,0.000058,72.523,False,False,2,5,True,2x4,3,81.7,92.3,False,FP
22,2026-03-04T06:51:34.501Z,0.000019,72.242,False,False,2,5,True,1d:2,1,80.5,97.6,False,FP
23,2026-03-04T06:51:38.002Z,0.000022,72.859,False,False,1,5,False,2x2,3,79.2,96.2,False,TN
