fusion_id,utc_iso,dt_s,max_temp,imagery_fire,raw_signal,window_confirmations,window_fill,decision,thermal_shape,num_detections,thermal_distance_m,imagery_distance_m,thermal_x,thermal_y,thermal_z,imagery_x,imagery_y,imagery_z,inter_drone_dist_m,separation_xy_m,separation_dz_m,fire_window,hit_miss
0,2026-04-15T01:58:04.257Z,0.243314,76.631,False,False,0,1,False,2x4,1,53.3,95.8,-5.36,-34.45,40.36,-40.48,-34.23,79.85,52.85,35.12,39.49,True,FN
1,2026-04-15T01:58:05.502Z,0.000848,76.631,False,False,0,2,False,2x4,2,53.3,93.8,-5.36,-34.45,40.36,-36.16,-33.57,79.74,50.00,30.81,39.38,True,FN
2,2026-04-15T01:58:08.000Z,0.000031,74.417,False,False,0,3,False,3x3,2,54.0,89.3,11.69,-34.26,40.06,-20.55,-33.80,80.07,51.39,32.24,40.01,True,FN
3,2026-04-15T01:58:10.502Z,0.000304,71.219,False,False,0,4,False,1d:8,0,61.6,87.3,31.91,-34.17,40.07,0.16,-34.48,80.17,51.15,31.75,40.10,True,FN
4,2026-04-15T01:58:11.502Z,0.000069,130.949,True,True,1,5,False,3x3,1,55.4,88.0,31.40,-21.82,40.09,15.65,-33.47,79.84,44.32,19.59,39.75,True,FN
5,2026-04-15T01:58:12.259Z,0.000046,126.298,False,False,1,5,False,1d:8,2,53.3,89.9,27.93,-21.89,39.80,20.08,-34.46,80.57,43.38,14.82,40.77,True,FN
6,2026-04-15T01:58:13.501Z,0.000026,127.640,False,False,1,5,False,1d:4,3,49.7,91.1,19.62,-22.12,39.89,27.73,-34.34,79.66,42.39,14.67,39.77,True,FN
7,2026-04-15T01:58:13.501Z,0.000023,132.543,False,False,1,5,False,1d:4,3,48.6,92.8,16.63,-21.67,40.24,32.88,-33.09,80.16,44.59,19.86,39.92,True,FN
8,2026-04-15T01:58:17.002Z,0.000367,130.412,False,False,1,5,False,2x2,2,48.0,94.6,12.58,-22.48,40.54,37.04,-34.07,80.06,47.90,27.07,39.52,True,FN
9,2026-04-15T01:58:17.502Z,0.000389,130.272,True,True,1,5,False,1d:2,2,45.4,89.0,-0.71,-21.79,39.76,32.60,-21.21,80.08,52.30,33.32,40.32,True,FN
10,2026-04-15T01:58:19.002Z,0.000701,73.133,True,False,1,5,False,3x3,3,49.5,83.3,-19.30,-21.90,39.97,11.62,-20.88,79.81,50.44,30.94,39.84,True,FN
11,2026-04-15T01:58:19.502Z,0.000058,74.199,True,False,1,5,False,2x4,2,53.5,82.9,-28.06,-22.02,39.93,3.99,-22.30,79.77,51.13,32.05,39.84,True,FN
12,2026-04-15T01:58:21.502Z,0.000024,73.390,False,False,1,5,False,3x3,1,52.1,84.5,-31.86,-9.88,40.01,-15.68,-22.84,79.77,44.84,20.73,39.76,True,FN
13,2026-04-15T01:58:24.001Z,0.000003,128.564,False,False,1,5,False,4x4,2,42.9,90.7,-12.14,-10.10,39.85,-36.25,-21.14,80.38,48.43,26.52,40.53,True,FN
14,2026-04-15T01:58:27.504Z,0.000117,122.534,False,False,0,5,False,2x2,1,41.2,87.9,-3.18,-9.71,39.96,-35.68,-9.49,79.79,51.41,32.50,39.83,True,FN
15,2026-04-15T01:58:28.002Z,0.000033,130.845,False,False,0,5,False,2x4,0,42.7,83.3,12.29,-9.95,39.66,-21.32,-9.95,79.96,52.48,33.61,40.30,True,FN
16,2026-04-15T01:58:30.504Z,0.000036,72.487,True,False,0,5,False,2x4,2,45.9,81.5,19.59,-9.75,40.31,-11.44,-9.73,80.15,50.50,31.03,39.84,True,FN
17,2026-04-15T01:58:31.504Z,0.000341,129.477,True,True,1,5,False,3x3,2,47.9,81.1,24.31,-10.15,39.98,-8.22,-9.99,80.07,51.63,32.53,40.09,True,FN
