fusion_id,utc_iso,dt_s,max_temp,imagery_fire,raw_signal,window_confirmations,window_fill,decision,thermal_shape,num_detections,thermal_distance_m,imagery_distance_m,thermal_x,thermal_y,thermal_z,imagery_x,imagery_y,imagery_z,inter_drone_dist_m,separation_xy_m,separation_dz_m,fire_window,hit_miss
0,2026-04-15T05:48:44.454Z,0.047055,69.693,False,False,0,1,False,1d:4,0,66.5,87.1,-40.39,-34.79,39.70,-3.70,-34.02,80.11,54.59,36.70,40.41,True,FN
1,2026-04-15T05:48:46.003Z,0.000264,128.821,False,False,0,2,False,2x2,0,62.8,87.1,-35.31,-33.56,39.63,-3.70,-34.02,80.11,51.36,31.61,40.48,True,FN
2,2026-04-15T05:48:46.003Z,0.000081,72.496,True,False,0,3,False,1d:4,3,61.2,87.1,-31.88,-34.12,39.58,-0.78,-33.85,80.26,51.21,31.10,40.68,True,FN
3,2026-04-15T05:48:46.003Z,0.000027,74.190,True,False,0,4,False,2x2,3,60.0,87.0,-28.10,-34.89,39.89,4.42,-33.70,80.11,51.74,32.54,40.22,True,FN
4,2026-04-15T05:48:49.501Z,0.000066,73.660,False,False,0,5,False,4x4,0,52.6,91.5,-3.63,-33.69,40.23,27.85,-34.29,80.07,50.78,31.49,39.84,True,FN
5,2026-04-15T05:48:51.501Z,0.000016,126.663,True,True,1,5,False,3x3,1,54.1,90.8,12.02,-34.09,40.23,36.53,-22.48,80.03,48.16,27.12,39.80,True,FN
6,2026-04-15T05:48:54.502Z,0.000030,128.109,False,False,1,5,False,2x2,0,56.7,87.7,20.80,-34.41,39.94,28.01,-22.39,80.05,42.49,14.02,40.11,True,FN
7,2026-04-15T05:48:55.502Z,0.000008,131.699,True,True,2,5,True,2x2,1,56.4,82.6,32.43,-23.12,39.95,-0.20,-21.97,79.62,51.38,32.65,39.67,True,TP
8,2026-04-15T05:48:59.003Z,0.000026,130.277,False,False,2,5,True,2x4,2,48.4,84.7,16.12,-21.56,40.24,-16.05,-22.16,80.17,51.28,32.18,39.93,True,TP
9,2026-04-15T05:49:01.001Z,0.000073,131.054,False,False,2,5,True,3x3,0,45.8,90.5,-4.77,-22.17,39.81,-35.38,-22.58,80.20,50.68,30.61,40.39,True,TP
10,2026-04-15T05:49:02.466Z,0.000058,71.898,False,False,1,5,False,1d:8,1,51.4,84.0,-23.85,-22.15,39.71,-24.22,-10.92,79.74,41.58,11.24,40.03,True,FN
11,2026-04-15T05:49:05.502Z,0.000009,72.461,True,False,1,5,False,4x4,2,55.3,80.9,-36.74,-10.45,39.99,-4.14,-10.06,80.14,51.72,32.60,40.15,True,FN
12,2026-04-15T05:49:08.502Z,0.000033,128.842,True,True,1,5,False,4x4,1,47.6,80.9,-23.40,-10.41,40.18,8.44,-10.12,79.78,50.81,31.84,39.60,True,FN
13,2026-04-15T05:49:10.002Z,0.000047,128.455,True,True,2,5,True,1d:8,2,45.7,81.5,-19.81,-9.18,40.11,12.34,-9.55,80.03,51.26,32.15,39.92,True,TP
14,2026-04-15T05:49:10.472Z,0.000043,130.235,True,True,3,5,True,2x2,2,41.4,88.3,3.06,-9.64,40.19,35.22,-9.73,80.41,51.50,32.16,40.22,True,TP
15,2026-04-15T05:49:11.503Z,0.000033,130.770,True,True,4,5,True,2x2,3,42.8,87.7,12.02,-10.30,39.73,35.92,1.66,80.02,48.35,26.73,40.29,True,TP
16,2026-04-15T05:49:14.502Z,0.000043,126.465,True,True,5,5,True,1d:4,3,54.3,80.7,35.26,-10.14,40.06,12.18,1.32,79.74,47.31,25.77,39.68,True,TP
17,2026-04-15T05:49:17.502Z,0.000993,129.689,False,False,4,5,True,2x4,0,55.9,80.4,39.45,0.65,39.56,7.64,1.46,79.99,51.45,31.82,40.43,True,TP
18,2026-04-15T05:49:17.503Z,0.000065,131.524,False,False,3,5,True,3x3,0,44.0,81.0,19.34,2.01,39.42,-11.58,2.32,80.13,51.12,30.92,40.71,True,TP
19,2026-04-15T05:49:19.503Z,0.000039,137.238,True,True,3,5,True,2x2,3,40.0,86.1,0.36,1.77,39.91,-31.88,1.28,80.00,51.45,32.24,40.09,True,TP
20,2026-04-15T05:49:22.503Z,0.000006,132.978,False,False,2,5,True,3x3,0,45.8,84.9,-23.13,1.71,39.54,-23.62,14.20,80.27,42.60,12.50,40.73,True,TP
21,2026-04-15T05:49:26.003Z,0.000140,131.138,True,True,2,5,True,2x4,1,53.4,82.0,-35.24,1.50,40.14,-11.89,14.67,79.80,47.87,26.81,39.66,True,TP
