fusion_id,utc_iso,dt_s,max_temp,imagery_fire,raw_signal,window_confirmations,window_fill,decision,thermal_shape,num_detections,thermal_distance_m,imagery_distance_m,thermal_x,thermal_y,thermal_z,imagery_x,imagery_y,imagery_z,inter_drone_dist_m,separation_xy_m,separation_dz_m,fire_window,hit_miss
0,2026-04-15T07:20:13.269Z,0.000120,72.772,True,False,0,1,False,3x3,1,65.7,95.5,-38.92,-34.55,40.08,-38.92,-34.55,80.08,40.00,0.00,40.00,True,FN
1,2026-04-15T07:20:13.502Z,0.000082,131.514,False,False,0,2,False,3x3,1,63.0,94.0,-35.30,-33.91,39.61,-36.13,-34.13,79.75,40.15,0.86,40.14,True,FN
2,2026-04-15T07:20:14.505Z,0.000016,72.504,True,False,0,3,False,2x2,3,59.3,91.1,-28.37,-33.57,39.83,-28.41,-33.89,79.69,39.86,0.32,39.86,True,FN
3,2026-04-15T07:20:16.501Z,0.000010,74.955,False,False,0,4,False,4x4,1,53.5,87.9,-12.72,-33.54,39.70,-11.40,-33.94,80.32,40.64,1.38,40.62,True,FN
4,2026-04-15T07:20:19.000Z,0.000009,70.586,False,False,0,5,False,1d:2,0,53.3,87.6,8.33,-34.25,40.02,7.77,-34.64,80.12,40.11,0.68,40.10,True,FN
5,2026-04-15T07:20:21.000Z,0.000007,74.039,False,False,0,5,False,2x4,0,57.5,90.7,23.31,-34.28,39.78,23.95,-34.56,80.31,40.54,0.70,40.53,True,FN
6,2026-04-15T07:20:21.501Z,0.000007,73.550,False,False,0,5,False,2x2,1,59.9,92.1,27.95,-34.27,40.41,28.98,-34.26,80.44,40.04,1.03,40.03,True,FN
7,2026-04-15T07:20:22.001Z,0.000005,74.013,False,False,0,5,False,4x4,2,61.4,93.2,31.88,-33.93,40.03,32.55,-34.07,80.36,40.34,0.68,40.33,True,FN
8,2026-04-15T07:20:27.001Z,0.000010,71.411,False,False,0,5,False,2x2,2,64.2,93.8,36.69,-34.34,39.93,36.01,-34.00,79.66,39.74,0.76,39.73,True,FN
9,2026-04-15T07:20:27.502Z,0.000011,127.922,False,False,0,5,False,1d:8,1,55.9,89.4,32.59,-21.97,39.80,32.85,-20.94,80.46,40.67,1.06,40.66,True,FN
10,2026-04-15T07:20:29.001Z,0.000012,72.118,True,False,0,5,False,1d:8,2,45.6,83.2,3.96,-20.86,40.38,4.29,-22.04,80.12,39.76,1.23,39.74,True,FN
11,2026-04-15T07:20:32.502Z,0.000012,74.996,False,False,0,5,False,1d:8,0,48.4,84.6,-15.44,-22.05,40.19,-16.09,-21.68,80.13,39.95,0.75,39.94,True,FN
12,2026-04-15T07:20:35.001Z,0.000014,72.073,False,False,0,5,False,2x4,1,57.8,90.3,-35.63,-21.86,39.95,-35.67,-21.45,80.17,40.22,0.41,40.22,True,FN
13,2026-04-15T07:20:35.001Z,0.000013,72.706,True,False,0,5,False,3x3,1,47.9,84.6,-24.24,-10.23,40.03,-25.10,-10.47,80.13,40.11,0.89,40.10,True,FN
14,2026-04-15T07:20:40.003Z,0.000026,137.618,True,True,1,5,False,1d:4,2,41.4,80.6,-0.19,-10.60,40.06,0.47,-10.76,79.86,39.81,0.68,39.80,True,FN
15,2026-04-15T07:20:42.502Z,0.000004,126.075,False,False,1,5,False,2x2,0,54.8,88.4,35.86,-10.80,39.97,35.96,-10.27,80.07,40.10,0.54,40.10,True,FN
16,2026-04-15T07:20:47.503Z,0.000004,131.307,True,True,2,5,True,4x4,1,46.5,83.2,23.93,2.11,39.86,23.48,1.70,79.78,39.92,0.61,39.92,True,TP
17,2026-04-15T07:20:50.002Z,0.000011,132.519,False,False,2,5,True,1d:2,1,40.5,79.9,3.54,0.93,40.33,3.33,2.06,79.83,39.52,1.15,39.50,True,TP
18,2026-04-15T07:20:50.003Z,0.000001,136.495,False,False,2,5,True,1d:2,0,43.2,81.6,-15.44,2.32,40.28,-16.17,2.03,79.98,39.71,0.79,39.70,True,TP
19,2026-04-15T07:20:55.003Z,0.000011,124.286,True,True,2,5,True,4x4,2,50.0,85.9,-27.98,13.22,39.31,-27.69,14.14,80.05,40.75,0.96,40.74,True,TP
20,2026-04-15T07:20:57.503Z,0.000000,130.182,True,True,3,5,True,1d:8,2,42.3,80.9,-4.44,13.71,39.76,-3.74,13.93,79.56,39.81,0.73,39.80,True,TP
21,2026-04-15T07:21:02.502Z,0.000008,127.943,True,True,3,5,True,1d:8,2,48.1,84.4,23.41,13.05,39.97,23.89,14.13,79.67,39.72,1.18,39.70,True,TP
22,2026-04-15T07:21:06.002Z,0.000037,128.775,False,False,3,5,True,3x3,1,55.2,89.1,35.58,14.58,39.64,36.43,13.76,80.16,40.54,1.18,40.52,True,TP
23,2026-04-15T07:21:06.002Z,0.000034,124.800,False,False,3,5,True,1d:8,0,50.1,85.4,16.33,25.62,39.87,15.89,25.20,80.03,40.16,0.61,40.16,True,TP
24,2026-04-15T07:21:07.503Z,0.000003,132.665,False,False,2,5,True,3x3,0,47.4,84.4,2.53,25.53,39.80,4.52,26.23,80.09,40.35,2.11,40.29,True,TP
25,2026-04-15T07:21:11.002Z,0.000002,75.129,True,False,1,5,False,1d:2,2,53.0,87.6,-23.41,25.87,39.88,-24.53,25.78,80.04,40.18,1.12,40.16,True,FN
