fusion_id,utc_iso,dt_s,max_temp,imagery_fire,raw_signal,window_confirmations,window_fill,decision,thermal_shape,num_detections,thermal_distance_m,imagery_distance_m,thermal_x,thermal_y,thermal_z,imagery_x,imagery_y,imagery_z,inter_drone_dist_m,separation_xy_m,separation_dz_m,fire_window,hit_miss
0,2026-04-15T12:12:29.966Z,0.021311,75.526,False,False,0,1,False,4x4,3,66.6,96.1,-40.79,-34.25,39.99,-40.79,-34.25,79.99,40.00,0.00,40.00,True,FN
1,2026-04-15T12:12:30.000Z,0.012918,75.526,False,False,0,2,False,4x4,0,66.6,94.7,-40.79,-34.25,39.99,-37.00,-34.27,80.16,40.35,3.79,40.17,True,FN
2,2026-04-15T12:12:30.502Z,0.011834,74.045,True,False,0,3,False,1d:4,2,61.6,92.9,-31.32,-34.71,40.13,-32.06,-34.54,80.09,39.97,0.76,39.96,True,FN
3,2026-04-15T12:12:32.002Z,0.003491,129.047,False,False,0,4,False,2x2,1,56.0,88.8,-19.62,-33.64,40.22,-20.12,-33.11,79.86,39.65,0.73,39.64,True,FN
4,2026-04-15T12:12:37.001Z,0.006504,71.676,False,False,0,5,False,1d:4,2,52.9,87.4,-8.05,-33.54,40.08,-8.02,-33.73,80.25,40.17,0.19,40.17,True,FN
5,2026-04-15T12:12:38.502Z,0.023237,72.524,False,False,0,5,False,2x4,3,58.6,91.0,27.93,-32.76,39.79,27.35,-34.10,79.87,40.11,1.46,40.08,True,FN
6,2026-04-15T12:12:39.503Z,0.022751,130.298,True,True,1,5,False,3x3,1,60.7,92.5,39.65,-22.77,39.99,40.39,-22.33,80.18,40.20,0.86,40.19,True,FN
7,2026-04-15T12:12:40.001Z,0.009673,129.886,True,True,2,5,True,1d:4,3,58.4,91.1,36.00,-22.05,40.28,36.41,-22.54,80.38,40.11,0.64,40.10,True,TP
8,2026-04-15T12:12:42.000Z,0.006577,133.856,False,False,2,5,True,1d:4,0,49.6,85.4,19.98,-21.43,40.03,19.74,-21.61,80.22,40.19,0.30,40.19,True,TP
9,2026-04-15T12:12:43.508Z,0.005517,127.447,True,True,3,5,True,3x3,2,46.6,83.3,8.60,-22.50,39.84,7.93,-21.51,80.14,40.32,1.20,40.30,True,TP
10,2026-04-15T12:12:45.003Z,0.000455,130.979,True,True,4,5,True,1d:15,1,45.8,82.9,-3.81,-22.69,39.60,-3.90,-21.88,79.89,40.30,0.81,40.29,True,TP
11,2026-04-15T12:12:50.001Z,0.003865,72.713,False,False,3,5,True,3x3,3,53.3,87.0,-27.96,-21.48,40.00,-28.10,-20.89,79.62,39.62,0.61,39.62,True,TP
12,2026-04-15T12:12:51.504Z,0.002711,134.608,True,True,3,5,True,2x2,2,47.4,83.6,-23.73,-9.75,39.85,-24.97,-9.22,79.21,39.38,1.35,39.36,True,TP
13,2026-04-15T12:12:56.504Z,0.004789,134.062,False,False,3,5,True,1d:4,0,43.2,82.0,-12.25,-9.16,40.41,-12.81,-10.67,80.24,39.86,1.61,39.83,True,TP
14,2026-04-15T12:12:58.002Z,0.006387,74.595,True,False,2,5,True,2x4,2,42.3,81.1,-8.47,-10.27,40.19,-8.00,-10.02,80.07,39.88,0.53,39.88,True,TP
15,2026-04-15T12:12:58.502Z,0.012411,134.722,True,True,2,5,True,1d:8,1,41.5,80.9,3.36,-9.72,40.24,4.05,-10.39,80.10,39.87,0.96,39.86,True,TP
16,2026-04-15T12:13:00.002Z,0.015147,133.034,True,True,3,5,True,4x4,1,52.3,86.8,31.91,-9.85,40.29,32.11,-10.51,79.95,39.67,0.69,39.66,True,TP
17,2026-04-15T12:13:00.003Z,0.011263,130.214,False,False,2,5,True,2x4,0,54.5,87.6,36.56,1.96,40.35,36.58,2.24,79.59,39.24,0.28,39.24,True,TP
18,2026-04-15T12:13:05.002Z,0.016489,131.787,True,True,3,5,True,2x2,3,51.1,86.1,31.49,1.89,40.19,31.55,1.95,80.12,39.93,0.08,39.93,True,TP
19,2026-04-15T12:13:05.003Z,0.000627,127.114,False,False,3,5,True,3x3,0,40.1,80.2,-5.08,2.19,39.70,-3.55,2.28,80.09,40.42,1.53,40.39,True,TP
20,2026-04-15T12:13:10.001Z,0.001754,128.895,True,True,3,5,True,1d:15,3,43.0,81.5,-15.49,2.63,40.01,-16.65,1.70,79.77,39.79,1.49,39.76,True,TP
21,2026-04-15T12:13:11.504Z,0.005179,131.834,True,True,3,5,True,1d:2,3,49.4,85.1,-28.49,1.88,40.32,-27.67,2.68,80.38,40.08,1.15,40.06,True,TP
22,2026-04-15T12:13:12.005Z,0.004260,128.693,True,True,4,5,True,1d:15,2,46.7,83.7,-20.49,13.81,39.67,-19.93,14.29,79.99,40.33,0.74,40.32,True,TP
23,2026-04-15T12:13:14.011Z,0.002851,132.385,True,True,4,5,True,1d:8,3,42.4,81.1,-4.65,14.19,39.71,-4.15,13.70,79.78,40.08,0.70,40.07,True,TP
24,2026-04-15T12:13:19.004Z,0.004991,127.116,True,True,5,5,True,3x3,3,42.8,81.3,4.65,13.89,40.21,4.81,13.07,80.14,39.94,0.84,39.93,True,TP
25,2026-04-15T12:13:20.004Z,0.009314,131.058,False,False,4,5,True,1d:8,0,45.3,83.1,15.44,14.19,40.17,15.87,14.78,80.19,40.03,0.73,40.02,True,TP
26,2026-04-15T12:13:21.502Z,0.014873,135.917,True,True,4,5,True,4x4,2,50.8,85.9,27.66,14.21,40.15,27.87,14.33,80.03,39.88,0.24,39.88,True,TP
27,2026-04-15T12:13:22.011Z,0.013118,128.042,True,True,4,5,True,1d:2,3,52.1,86.3,20.00,26.78,39.98,20.18,25.86,79.87,39.90,0.94,39.89,True,TP
28,2026-04-15T12:13:27.003Z,0.018879,131.866,True,True,4,5,True,1d:4,2,47.9,84.2,3.35,26.60,39.71,4.54,25.29,80.13,40.46,1.77,40.42,True,TP
29,2026-04-15T12:13:28.010Z,0.015448,129.631,False,False,3,5,True,1d:4,1,55.1,88.5,-27.75,25.74,40.00,-28.40,25.39,79.86,39.87,0.74,39.86,True,TP
