fusion_id,utc_iso,dt_s,max_temp,imagery_fire,raw_signal,window_confirmations,window_fill,decision,thermal_shape,num_detections,thermal_distance_m,imagery_distance_m,thermal_x,thermal_y,thermal_z,imagery_x,imagery_y,imagery_z,inter_drone_dist_m,separation_xy_m,separation_dz_m,fire_window,hit_miss
0,2026-04-15T15:06:47.703Z,0.099879,73.944,False,False,0,1,False,2x4,2,65.6,95.5,-39.25,-33.81,40.17,-39.25,-33.81,80.17,40.00,0.00,40.00,True,FN
1,2026-04-15T15:06:49.002Z,0.099488,72.788,False,False,0,2,False,3x3,3,59.3,91.4,-28.34,-33.59,39.74,-28.44,-33.62,80.11,40.37,0.10,40.37,True,FN
2,2026-04-15T15:06:52.002Z,0.098609,73.189,False,False,0,3,False,2x4,2,52.4,87.8,-3.63,-33.52,40.15,-4.31,-34.46,80.60,40.47,1.16,40.45,True,FN
3,2026-04-15T15:06:57.000Z,0.099456,71.611,False,False,0,4,False,2x2,2,53.9,87.7,12.10,-34.35,39.76,12.59,-34.17,79.77,40.01,0.52,40.01,True,FN
4,2026-04-15T15:06:58.001Z,0.099330,133.509,True,True,1,5,False,1d:15,2,58.0,90.8,35.91,-21.79,40.03,36.51,-22.35,80.02,40.00,0.82,39.99,True,FN
5,2026-04-15T15:07:01.503Z,0.099032,128.859,True,True,2,5,True,2x4,2,47.1,83.4,8.40,-22.66,40.46,8.18,-21.48,80.15,39.71,1.20,39.69,True,TP
6,2026-04-15T15:07:06.502Z,0.100008,130.278,False,False,2,5,True,3x3,0,46.0,83.0,-4.84,-21.87,40.24,-5.36,-21.72,79.96,39.72,0.54,39.72,True,TP
7,2026-04-15T15:07:08.001Z,0.100306,71.547,False,False,2,5,True,1d:15,2,48.6,84.0,-15.77,-21.81,40.51,-15.64,-22.28,79.48,38.97,0.49,38.97,True,TP
8,2026-04-15T15:07:09.502Z,0.100410,69.534,False,False,2,5,True,2x2,3,54.3,88.4,-35.54,-10.06,39.84,-35.98,-9.96,80.10,40.26,0.45,40.26,True,TP
9,2026-04-15T15:07:10.503Z,0.100395,133.958,False,False,1,5,False,3x3,2,44.3,82.1,-16.05,-9.23,40.23,-15.62,-10.39,79.95,39.74,1.24,39.72,True,FN
10,2026-04-15T15:07:11.502Z,0.099997,127.708,True,True,1,5,False,2x4,2,42.5,81.2,-7.41,-10.29,40.55,-7.71,-9.82,80.18,39.63,0.56,39.63,True,FN
11,2026-04-15T15:07:16.003Z,0.099994,72.584,False,False,1,5,False,1d:4,1,49.9,85.5,27.85,-10.43,40.06,28.44,-10.06,79.96,39.91,0.70,39.90,True,FN
12,2026-04-15T15:07:21.003Z,0.100116,69.872,False,False,1,5,False,1d:4,0,44.8,82.5,19.85,1.30,40.13,20.53,1.78,79.94,39.82,0.83,39.81,True,FN
13,2026-04-15T15:07:21.004Z,0.100000,72.844,True,False,1,5,False,2x2,3,41.6,80.8,12.13,2.10,39.77,11.20,1.35,80.01,40.26,1.19,40.24,True,FN
14,2026-04-15T15:07:22.002Z,0.099936,132.440,True,True,2,5,True,2x4,2,40.0,80.0,3.05,1.65,39.81,4.67,1.58,79.84,40.06,1.62,40.03,True,TP
15,2026-04-15T15:07:27.002Z,0.099974,73.536,True,False,1,5,False,1d:8,2,40.0,80.2,-0.56,3.58,39.84,1.10,2.13,80.22,40.44,2.20,40.38,True,FN
16,2026-04-15T15:07:27.503Z,0.100008,124.673,True,True,2,5,True,2x4,3,51.5,86.7,-32.19,1.16,40.11,-32.86,3.36,80.10,40.06,2.30,39.99,True,TP
17,2026-04-15T15:07:29.003Z,0.100003,129.736,True,True,3,5,True,3x3,1,51.0,85.9,-28.05,13.65,40.35,-28.24,14.15,79.88,39.53,0.53,39.53,True,TP
18,2026-04-15T15:07:32.003Z,0.099977,124.115,False,False,3,5,True,2x4,0,42.5,81.2,-3.89,14.20,39.85,-3.72,13.51,80.01,40.17,0.71,40.16,True,TP
19,2026-04-15T15:07:34.002Z,0.099611,130.289,True,True,3,5,True,1d:2,2,44.4,82.0,12.08,14.96,40.04,12.25,14.52,79.80,39.76,0.47,39.76,True,TP
20,2026-04-15T15:07:39.004Z,0.099945,130.714,False,False,3,5,True,1d:15,3,62.6,93.4,40.40,25.77,40.25,40.38,26.43,79.94,39.70,0.66,39.69,True,TP
21,2026-04-15T15:07:42.503Z,0.099970,131.100,True,True,3,5,True,4x4,1,48.4,83.7,4.03,26.56,40.31,3.42,24.99,79.82,39.55,1.68,39.51,True,TP
22,2026-04-15T15:07:47.003Z,0.100349,126.589,False,False,2,5,True,2x2,0,48.2,84.4,-3.62,26.89,39.82,-5.10,25.78,80.17,40.39,1.85,40.35,True,TP
