fusion_id,utc_iso,dt_s,max_temp,imagery_fire,raw_signal,window_confirmations,window_fill,decision,thermal_shape,num_detections,thermal_distance_m,imagery_distance_m,thermal_x,thermal_y,thermal_z,imagery_x,imagery_y,imagery_z,inter_drone_dist_m,separation_xy_m,separation_dz_m,fire_window,hit_miss
0,2026-04-15T16:11:11.683Z,0.074711,71.870,False,False,0,1,False,2x2,1,63.4,95.3,-36.12,-33.38,40.06,-39.61,-34.33,79.58,39.69,3.62,39.52,True,FN
1,2026-04-15T16:11:12.106Z,0.000043,72.207,False,False,0,2,False,4x4,1,61.5,93.8,-31.73,-34.49,39.89,-36.52,-32.86,79.88,40.31,5.06,39.99,True,FN
2,2026-04-15T16:11:12.604Z,0.000016,72.224,False,False,0,3,False,3x3,1,58.9,92.9,-27.23,-33.82,39.78,-31.93,-34.39,80.18,40.68,4.73,40.40,True,FN
3,2026-04-15T16:11:14.603Z,0.000003,74.394,False,False,0,4,False,1d:4,0,53.6,88.3,-11.97,-34.42,39.36,-16.43,-34.03,79.83,40.72,4.48,40.47,True,FN
4,2026-04-15T16:11:19.503Z,0.000233,73.003,False,False,0,5,False,1d:4,2,58.7,88.7,23.64,-35.23,40.51,20.28,-33.30,79.68,39.36,3.87,39.17,True,FN
5,2026-04-15T16:11:21.604Z,0.000022,129.670,True,True,1,5,False,2x4,1,58.6,91.5,36.16,-22.62,40.23,39.35,-21.80,79.71,39.62,3.29,39.48,True,FN
6,2026-04-15T16:11:26.503Z,0.001284,132.131,True,True,2,5,True,3x3,1,47.6,84.6,15.70,-21.02,39.75,19.59,-21.55,79.46,39.90,3.93,39.71,True,TP
7,2026-04-15T16:11:27.103Z,0.001022,70.411,False,False,2,5,True,2x2,0,46.6,83.2,-8.13,-22.20,40.14,-4.40,-21.24,80.27,40.31,3.85,40.13,True,TP
8,2026-04-15T16:11:27.601Z,0.000006,70.821,False,False,2,5,True,2x4,0,47.0,83.1,-10.90,-22.14,39.97,-8.08,-21.74,79.80,39.93,2.85,39.83,True,TP
9,2026-04-15T16:11:32.501Z,0.000016,71.670,False,False,2,5,True,2x4,1,51.5,85.5,-23.83,-22.07,39.99,-19.70,-22.82,80.00,40.23,4.20,40.01,True,TP
10,2026-04-15T16:11:32.604Z,0.000012,72.314,False,False,1,5,False,1d:4,1,50.3,86.7,-28.27,-10.56,40.23,-32.04,-9.10,80.04,40.01,4.04,39.81,True,FN
11,2026-04-15T16:11:34.024Z,0.000011,129.610,True,True,1,5,False,4x4,1,45.5,84.2,-19.79,-9.90,39.81,-24.79,-9.86,79.83,40.33,5.00,40.02,True,FN
12,2026-04-15T16:11:38.504Z,0.000032,130.244,False,False,1,5,False,3x3,0,42.3,81.8,-8.22,-10.63,40.06,-12.90,-9.99,80.17,40.39,4.72,40.11,True,FN
13,2026-04-15T16:11:40.011Z,0.000045,130.492,False,False,1,5,False,1d:2,1,50.0,84.3,27.80,-9.73,40.37,24.14,-9.76,80.14,39.94,3.66,39.77,True,FN
14,2026-04-15T16:11:40.605Z,0.000021,127.471,True,True,2,5,True,3x3,1,54.8,87.1,36.48,-9.77,39.64,32.61,-9.36,80.22,40.77,3.89,40.58,True,TP
15,2026-04-15T16:11:41.604Z,0.000003,72.141,False,False,2,5,True,1d:4,2,53.1,89.3,34.84,2.52,40.05,40.14,2.52,79.75,40.05,5.30,39.70,True,TP
16,2026-04-15T16:11:46.503Z,0.000118,126.637,True,True,2,5,True,2x2,3,46.5,84.3,23.34,3.03,40.12,28.30,2.21,79.36,39.56,5.03,39.24,True,TP
17,2026-04-15T16:11:48.002Z,0.000149,135.902,False,False,2,5,True,2x4,1,42.9,82.9,15.61,2.01,39.92,20.66,1.60,80.30,40.70,5.07,40.38,True,TP
18,2026-04-15T16:11:49.005Z,0.000343,131.863,True,True,3,5,True,1d:2,2,40.9,80.1,-7.85,2.58,40.10,-4.03,1.71,80.01,40.10,3.92,39.91,True,TP
19,2026-04-15T16:11:49.605Z,0.000198,72.647,True,False,2,5,True,3x3,1,49.3,83.6,-28.39,1.70,40.25,-23.53,2.17,80.20,40.25,4.88,39.95,True,TP
20,2026-04-15T16:11:50.714Z,0.000032,131.333,True,True,3,5,True,4x4,1,54.0,86.8,-35.90,2.58,40.22,-32.74,2.14,80.31,40.22,3.19,40.09,True,TP
21,2026-04-15T16:11:54.015Z,0.000015,126.229,True,True,3,5,True,2x2,1,46.5,84.3,-19.20,13.27,40.25,-23.16,14.28,79.84,39.80,4.09,39.59,True,TP
22,2026-04-15T16:11:58.503Z,0.000060,126.314,True,True,4,5,True,3x3,1,44.1,81.7,11.32,14.81,39.97,8.11,13.68,80.15,40.32,3.40,40.18,True,TP
23,2026-04-15T16:12:02.103Z,0.000054,132.742,True,True,4,5,True,3x3,2,57.5,91.6,31.95,26.28,39.88,35.98,26.42,79.98,40.30,4.03,40.10,True,TP
24,2026-04-15T16:12:04.102Z,0.000002,133.276,False,False,4,5,True,1d:4,3,49.8,86.2,15.40,25.25,40.10,19.95,25.83,79.73,39.89,4.59,39.63,True,TP
25,2026-04-15T16:12:09.006Z,0.000016,126.941,True,True,4,5,True,1d:2,1,47.3,84.3,-0.66,25.69,39.71,3.40,26.92,79.83,40.34,4.24,40.12,True,TP
26,2026-04-15T16:12:11.005Z,0.000089,132.070,True,True,4,5,True,4x4,2,57.4,88.8,-33.13,24.62,39.84,-28.63,26.63,79.72,40.18,4.93,39.88,True,TP
