fusion_id,utc_iso,dt_s,max_temp,imagery_fire,raw_signal,window_confirmations,window_fill,decision,thermal_shape,num_detections,thermal_distance_m,imagery_distance_m,thermal_x,thermal_y,thermal_z,imagery_x,imagery_y,imagery_z,inter_drone_dist_m,separation_xy_m,separation_dz_m,fire_window,hit_miss
0,2026-04-15T01:06:47.589Z,0.000010,72.074,False,False,0,1,False,1d:4,0,65.9,95.6,-40.13,-33.74,39.94,-40.13,-33.74,79.94,40.00,0.00,40.00,True,FN
1,2026-04-15T01:06:50.001Z,0.000006,72.887,False,False,0,2,False,2x2,0,56.6,89.1,-20.63,-34.48,39.87,-19.61,-33.80,80.05,40.20,1.23,40.18,True,FN
2,2026-04-15T01:06:51.500Z,0.000003,70.989,False,False,0,3,False,2x2,0,52.9,87.5,-7.25,-34.06,39.87,-9.13,-34.50,79.89,40.07,1.93,40.02,True,FN
3,2026-04-15T01:06:55.500Z,0.000000,71.013,False,False,0,4,False,2x4,1,57.3,89.7,23.53,-34.00,39.71,23.21,-33.87,79.79,40.08,0.35,40.08,True,FN
4,2026-04-15T01:07:01.002Z,0.000016,128.392,True,True,1,5,False,2x4,3,50.2,85.0,20.41,-22.88,39.73,19.48,-22.02,79.81,40.10,1.27,40.08,True,FN
5,2026-04-15T01:07:01.002Z,0.000006,127.450,False,False,1,5,False,1d:4,0,47.0,84.0,12.25,-21.48,39.99,12.56,-22.02,80.11,40.12,0.62,40.12,True,FN
6,2026-04-15T01:07:06.501Z,0.000010,69.939,False,False,1,5,False,1d:2,2,48.4,84.3,-15.61,-22.18,40.03,-16.43,-21.47,79.86,39.84,1.08,39.83,True,FN
7,2026-04-15T01:07:09.503Z,0.000006,127.366,False,False,1,5,False,2x4,0,48.0,84.7,-23.87,-10.61,40.28,-25.09,-9.90,80.32,40.06,1.41,40.04,True,FN
8,2026-04-15T01:07:14.502Z,0.000009,127.895,True,True,2,5,True,1d:2,1,41.6,80.9,-3.60,-9.78,40.25,-4.19,-10.85,80.09,39.86,1.22,39.84,True,TP
9,2026-04-15T01:07:17.002Z,0.000013,129.781,False,False,1,5,False,1d:8,1,41.3,80.7,3.52,-9.46,40.09,4.16,-9.38,80.07,39.99,0.64,39.98,True,FN
10,2026-04-15T01:07:18.004Z,0.000017,127.206,True,True,2,5,True,3x3,2,49.4,85.6,28.12,-9.79,39.41,27.73,-10.35,80.33,40.93,0.68,40.92,True,TP
11,2026-04-15T01:07:19.002Z,0.000002,126.463,True,True,3,5,True,1d:4,3,48.9,85.2,28.21,2.16,39.90,27.55,2.78,80.54,40.65,0.91,40.64,True,TP
12,2026-04-15T01:07:24.004Z,0.000025,133.068,True,True,4,5,True,1d:8,1,41.6,80.1,-7.65,2.76,40.75,-7.54,1.05,79.73,39.02,1.71,38.98,True,TP
13,2026-04-15T01:07:29.003Z,0.000050,130.648,True,True,4,5,True,3x3,1,56.1,88.6,-36.74,14.18,39.99,-35.56,14.03,79.94,39.97,1.19,39.95,True,TP
14,2026-04-15T01:07:29.003Z,0.000015,127.509,False,False,4,5,True,1d:15,2,51.3,85.9,-28.71,14.52,39.90,-28.01,14.34,79.93,40.04,0.72,40.03,True,TP
15,2026-04-15T01:07:34.504Z,0.000952,127.291,True,True,4,5,True,2x4,1,42.2,81.1,0.14,13.93,39.80,0.88,14.09,79.84,40.05,0.76,40.04,True,TP
16,2026-04-15T01:07:34.505Z,0.000003,126.492,False,False,3,5,True,2x4,0,45.5,82.7,15.64,14.35,40.29,16.05,14.19,79.91,39.62,0.44,39.62,True,TP
17,2026-04-15T01:07:39.502Z,0.000076,75.162,True,False,2,5,True,3x3,1,59.5,90.8,36.07,25.50,39.89,35.04,25.40,79.87,39.99,1.03,39.98,True,TP
18,2026-04-15T01:07:41.502Z,0.000015,125.236,False,False,1,5,False,4x4,0,48.2,84.5,8.87,24.92,40.27,7.67,26.07,79.99,39.75,1.66,39.72,True,FN
19,2026-04-15T01:07:43.004Z,0.000003,127.722,True,True,2,5,True,3x3,2,48.5,84.8,-4.85,26.33,40.45,-3.44,27.49,80.16,39.75,1.83,39.71,True,TP
