fusion_id,utc_iso,dt_s,max_temp,imagery_fire,raw_signal,window_confirmations,window_fill,decision,thermal_shape,num_detections,thermal_distance_m,imagery_distance_m,fire_window,hit_miss
0,2026-03-04T08:27:16.556Z,0.000667,72.862,True,False,0,1,False,1d:8,1,65.0,87.4,True,FN
1,2026-03-04T08:27:17.502Z,0.000319,131.719,True,True,1,2,False,4x4,1,66.8,89.9,True,FN
2,2026-03-04T08:27:18.502Z,0.000035,130.167,True,True,2,3,True,2x4,3,68.3,86.8,True,TP
3,2026-03-04T08:27:23.502Z,0.000063,132.331,True,True,3,4,True,2x2,2,68.5,82.9,True,TP
4,2026-03-04T08:27:23.503Z,0.000031,72.092,False,False,3,5,True,4x4,0,69.9,86.6,False,FP
5,2026-03-04T08:27:27.501Z,0.000006,132.684,True,True,4,5,True,1d:15,1,71.0,90.8,True,TP
6,2026-03-04T08:27:32.501Z,0.000010,74.191,False,False,3,5,True,2x2,1,73.7,88.3,False,FP
7,2026-03-04T08:27:34.504Z,0.000018,66.837,False,False,2,5,True,1d:2,1,75.2,92.8,False,FP
8,2026-03-04T08:27:35.501Z,0.000100,73.501,False,False,1,5,False,2x4,3,74.2,91.2,False,TN
9,2026-03-04T08:27:36.501Z,0.000133,130.476,True,True,2,5,True,4x4,3,71.4,94.8,True,TP
10,2026-03-04T08:27:36.502Z,0.000013,70.302,False,False,1,5,False,1d:2,3,72.4,91.5,False,TN
11,2026-03-04T08:27:42.504Z,0.000020,128.500,True,True,2,5,True,1d:8,2,73.0,98.5,True,TP
12,2026-03-04T08:27:44.504Z,0.000001,72.492,False,False,2,5,True,4x4,1,72.5,90.6,False,FP
13,2026-03-04T08:27:49.501Z,0.000014,74.022,False,False,2,5,True,4x4,2,73.8,94.8,False,FP
14,2026-03-04T08:27:52.504Z,0.000021,72.091,False,False,1,5,False,4x4,2,78.9,86.4,False,TN
15,2026-03-04T08:27:57.004Z,0.000022,74.213,False,False,1,5,False,4x4,3,85.0,85.8,False,TN
16,2026-03-04T08:27:59.002Z,0.000002,128.670,False,False,0,5,False,1d:8,0,75.2,84.7,True,FN
17,2026-03-04T08:28:04.003Z,0.000089,72.554,False,False,0,5,False,4x4,1,71.7,85.2,False,TN
18,2026-03-04T08:28:05.004Z,0.000094,72.010,False,False,0,5,False,1d:2,1,76.3,81.3,False,TN
19,2026-03-04T08:28:07.007Z,0.000010,130.350,True,True,1,5,False,1d:2,2,75.6,83.2,True,FN
20,2026-03-04T08:28:12.504Z,0.000019,74.217,False,False,1,5,False,4x4,2,79.7,81.5,False,TN
21,2026-03-04T08:28:15.501Z,0.000014,132.698,True,True,2,5,True,1d:15,2,71.7,78.7,True,TP
