fusion_id,utc_iso,dt_s,max_temp,imagery_fire,raw_signal,window_confirmations,window_fill,decision,thermal_shape,num_detections,thermal_distance_m,imagery_distance_m,fire_window,hit_miss
0,2026-03-04T08:49:04.453Z,0.224390,72.862,True,False,0,1,False,1d:8,1,65.0,87.4,True,FN
1,2026-03-04T08:49:05.057Z,0.000616,131.719,True,True,1,2,False,4x4,1,66.8,89.9,True,FN
2,2026-03-04T08:49:05.555Z,0.000038,127.065,True,True,2,3,True,2x2,3,67.8,86.6,True,TP
3,2026-03-04T08:49:07.559Z,0.000027,71.000,False,False,2,4,True,1d:8,2,67.7,87.2,False,FP
4,2026-03-04T08:49:08.060Z,0.000026,71.488,False,False,2,5,True,2x2,0,71.9,87.3,False,FP
5,2026-03-04T08:49:10.054Z,0.000023,72.208,False,False,2,5,True,2x4,3,70.1,83.0,False,FP
6,2026-03-04T08:49:13.559Z,0.000016,73.833,True,False,1,5,False,4x4,2,69.3,86.5,True,FN
7,2026-03-04T08:49:18.557Z,0.000024,66.837,False,False,0,5,False,1d:2,1,75.2,92.8,False,TN
8,2026-03-04T08:49:23.067Z,0.000042,70.576,True,False,0,5,False,1d:4,3,73.2,95.8,False,TN
9,2026-03-04T08:49:24.056Z,0.000029,70.302,False,False,0,5,False,1d:2,3,72.4,91.5,False,TN
10,2026-03-04T08:49:24.555Z,0.000013,73.516,False,False,0,5,False,4x4,3,72.6,88.5,False,TN
11,2026-03-04T08:49:26.559Z,0.000011,73.032,False,False,0,5,False,4x4,2,70.7,98.3,False,TN
12,2026-03-04T08:49:29.064Z,0.000004,128.500,True,True,1,5,False,1d:8,2,73.0,98.5,True,FN
13,2026-03-04T08:49:34.060Z,0.000008,72.709,False,False,1,5,False,1d:4,0,73.7,92.2,False,TN
14,2026-03-04T08:49:36.553Z,0.000153,74.022,False,False,1,5,False,4x4,2,73.8,94.8,False,TN
15,2026-03-04T08:49:40.010Z,0.000173,73.986,False,False,1,5,False,4x4,0,72.5,91.3,False,TN
