fusion_id,utc_iso,dt_s,max_temp,imagery_fire,raw_signal,window_confirmations,window_fill,decision,thermal_shape,num_detections,thermal_distance_m,imagery_distance_m,thermal_x,thermal_y,thermal_z,imagery_x,imagery_y,imagery_z,inter_drone_dist_m,separation_xy_m,separation_dz_m,fire_window,hit_miss
0,2026-04-07T03:12:35.418Z,0.047776,123.987,True,True,1,1,False,4x4,3,70.5,87.1,30.22,13.07,62.30,-24.74,-11.32,82.76,63.51,60.13,20.46,True,FN
1,2026-04-07T03:12:35.524Z,0.009599,126.343,False,False,1,2,False,3x3,1,68.9,90.3,31.61,11.16,60.21,-28.22,-10.84,85.06,68.42,63.75,24.85,True,FN
2,2026-04-07T03:12:36.513Z,0.003277,134.371,False,False,1,3,False,2x4,0,69.9,88.1,37.73,8.29,58.27,-27.63,-5.12,83.52,71.34,66.72,25.25,True,FN
3,2026-04-07T03:12:38.516Z,0.002603,130.584,True,True,2,4,True,1d:2,3,72.4,96.3,40.07,5.00,60.14,-35.33,-16.53,88.02,83.22,78.41,27.88,False,FP
4,2026-04-07T03:12:39.021Z,0.000016,70.602,False,False,2,5,True,1d:4,1,71.9,99.5,41.19,9.94,58.14,-40.22,-13.28,90.05,90.47,84.66,31.91,False,FP
5,2026-04-07T03:12:44.505Z,0.000022,73.169,False,False,1,5,False,2x4,2,71.8,101.1,43.45,11.70,55.94,-44.22,-8.36,90.57,96.37,89.94,34.63,False,TN
6,2026-04-07T03:12:45.009Z,0.000023,72.469,False,False,1,5,False,1d:4,0,66.5,94.9,42.85,4.92,50.63,-39.41,-2.85,86.25,89.98,82.63,35.62,False,TN
7,2026-04-07T03:12:47.516Z,0.000040,127.338,False,False,1,5,False,2x4,0,65.0,99.7,39.84,8.84,50.57,-44.49,-6.75,88.92,93.94,85.76,38.35,True,FN
8,2026-04-07T03:12:49.502Z,0.000541,72.471,False,False,0,5,False,1d:8,0,56.7,93.7,22.62,20.89,47.59,-38.20,-20.14,83.11,81.51,73.37,35.52,False,TN
9,2026-04-07T03:12:49.516Z,0.000166,73.154,False,False,0,5,False,2x4,3,54.2,92.1,19.90,20.95,45.90,-32.71,-18.02,84.19,75.85,65.47,38.29,False,TN
10,2026-04-07T03:12:50.012Z,0.000040,73.539,False,False,0,5,False,2x4,2,52.3,92.7,23.32,16.52,43.85,-34.93,-12.77,84.91,77.05,65.20,41.06,False,TN
11,2026-04-07T03:12:55.006Z,0.000122,127.481,True,True,1,5,False,4x4,1,57.2,93.4,28.56,20.07,45.37,-38.35,-18.93,83.03,86.12,77.45,37.66,True,FN
12,2026-04-07T03:12:55.516Z,0.000061,72.720,False,False,1,5,False,3x3,3,66.9,93.4,32.94,30.66,49.54,-33.86,-11.98,86.19,87.31,79.25,36.65,False,TN
13,2026-04-07T03:13:00.016Z,0.000005,129.891,True,True,2,5,True,1d:8,2,61.1,95.1,26.58,27.78,47.46,-29.35,7.24,90.16,73.30,59.58,42.70,True,TP
14,2026-04-07T03:13:05.012Z,0.000010,126.307,True,True,3,5,True,1d:15,1,67.3,92.6,33.84,22.39,53.74,-24.10,16.26,87.89,67.53,58.26,34.15,True,TP
15,2026-04-07T03:13:06.520Z,0.000030,70.737,False,False,3,5,True,2x2,2,71.8,91.9,32.71,27.49,57.73,-17.17,15.03,89.04,60.20,51.41,31.31,False,FP
16,2026-04-07T03:13:07.515Z,0.000002,71.991,True,False,2,5,True,1d:15,1,69.9,89.0,33.43,22.17,57.30,-14.53,7.10,87.53,58.66,50.27,30.23,True,TP
17,2026-04-07T03:13:12.508Z,0.000056,128.178,False,False,2,5,True,2x2,0,69.2,88.7,31.82,17.32,58.93,-15.02,3.54,87.38,56.51,48.82,28.45,True,TP
18,2026-04-07T03:13:13.003Z,0.001625,72.927,False,False,1,5,False,3x3,1,70.8,83.9,32.99,23.97,57.82,2.19,-5.45,83.72,49.85,42.59,25.90,False,TN
19,2026-04-07T03:13:13.012Z,0.001376,136.949,False,False,0,5,False,4x4,2,68.1,83.1,30.67,19.62,57.55,8.28,-12.94,81.64,46.28,39.52,24.09,False,TN
20,2026-04-07T03:13:13.521Z,0.000234,131.164,False,False,0,5,False,4x4,3,67.5,85.9,29.17,18.02,58.19,9.36,-15.25,84.00,46.53,38.72,25.81,False,TN
21,2026-04-07T03:13:14.517Z,0.000006,69.927,False,False,0,5,False,2x2,2,65.1,86.5,26.35,8.58,58.94,0.74,-17.64,84.70,44.80,36.65,25.76,False,TN
22,2026-04-07T03:13:20.010Z,0.000009,134.926,True,True,1,5,False,4x4,2,71.8,82.8,39.80,21.00,55.98,-7.86,-19.21,80.11,66.86,62.36,24.13,True,FN
23,2026-04-07T03:13:23.007Z,0.000011,71.512,False,False,1,5,False,1d:4,1,68.5,85.6,39.43,21.68,51.63,-22.67,-21.88,79.61,80.85,75.85,27.98,False,TN
24,2026-04-07T03:13:25.013Z,0.000004,73.025,True,False,1,5,False,1d:15,1,73.5,86.3,40.01,13.52,60.13,-21.72,-18.54,81.43,72.75,69.56,21.30,True,FN
25,2026-04-07T03:13:30.003Z,0.000627,71.294,False,False,1,5,False,2x2,1,74.6,84.6,33.47,19.04,63.94,-33.39,-15.42,76.24,76.22,75.22,12.30,False,TN
26,2026-04-07T03:13:32.510Z,0.000703,71.326,False,False,1,5,False,4x4,3,77.4,87.1,35.22,18.13,66.50,-32.18,-13.92,79.70,75.79,74.63,13.20,False,TN
27,2026-04-07T03:13:33.509Z,0.001037,134.766,True,True,1,5,False,2x2,2,81.2,75.2,42.35,15.21,67.57,-25.28,-15.54,69.15,74.31,74.29,1.58,True,FN
28,2026-04-07T03:13:34.021Z,0.000056,127.085,False,False,1,5,False,2x4,0,80.2,74.7,44.16,6.60,66.59,-11.92,-21.97,70.42,63.05,62.94,3.83,True,FN
