fusion_id,utc_iso,dt_s,max_temp,imagery_fire,raw_signal,window_confirmations,window_fill,decision,thermal_shape,num_detections,thermal_distance_m,imagery_distance_m,thermal_x,thermal_y,thermal_z,imagery_x,imagery_y,imagery_z,inter_drone_dist_m,separation_xy_m,separation_dz_m,fire_window,hit_miss
0,2026-04-07T05:58:05.477Z,0.034637,134.624,False,False,0,1,False,4x4,3,70.8,86.4,31.48,12.01,62.29,-29.58,-19.56,78.82,70.70,68.74,16.53,False,TN
1,2026-04-07T05:58:07.003Z,0.007475,73.610,False,False,0,2,False,2x2,3,72.3,86.4,32.59,9.29,63.86,-29.58,-19.56,78.82,70.15,68.54,14.96,False,TN
2,2026-04-07T05:58:07.004Z,0.000045,126.195,False,False,0,3,False,4x4,2,70.6,85.1,30.24,14.26,62.22,-32.21,-17.65,76.78,71.63,70.13,14.56,False,TN
3,2026-04-07T05:58:07.004Z,0.000032,72.123,False,False,0,4,False,2x2,0,72.2,85.0,32.87,13.19,62.90,-36.70,-18.84,74.31,77.43,76.59,11.41,False,TN
4,2026-04-07T05:58:11.007Z,0.000070,72.881,False,False,0,5,False,2x2,3,74.8,81.7,36.94,10.36,64.27,-36.15,-16.33,71.43,78.14,77.81,7.16,False,TN
5,2026-04-07T05:58:11.502Z,0.001610,129.759,True,True,1,5,False,3x3,2,79.8,76.4,40.35,-0.73,68.79,-33.36,-19.15,66.03,76.03,75.98,2.76,True,FN
6,2026-04-07T05:58:12.509Z,0.000016,127.196,True,True,2,5,True,4x4,2,80.3,75.5,39.25,-1.15,70.02,-25.61,-18.90,68.45,67.26,67.24,1.57,True,TP
7,2026-04-07T05:58:12.511Z,0.000002,131.792,True,True,3,5,True,2x2,2,80.4,70.9,41.47,-5.91,68.66,-23.05,-13.86,65.58,65.08,65.01,3.08,True,TP
8,2026-04-07T05:58:16.001Z,0.000011,73.449,False,False,3,5,True,4x4,1,82.3,70.0,44.11,-8.91,68.96,-21.08,-14.48,65.11,65.54,65.43,3.85,False,FP
9,2026-04-07T05:58:16.501Z,0.000042,72.345,False,False,3,5,True,2x2,3,84.4,73.6,44.33,-7.76,71.38,-25.54,-14.47,67.48,70.30,70.19,3.90,False,FP
10,2026-04-07T05:58:17.503Z,0.000057,135.794,False,False,2,5,True,3x3,0,89.8,74.0,44.98,1.39,77.66,-24.30,-18.28,67.44,72.74,72.02,10.22,False,FP
11,2026-04-07T05:58:17.521Z,0.000008,130.231,True,True,2,5,True,4x4,1,85.1,76.1,40.74,5.77,74.54,-31.60,-24.66,64.71,79.09,78.48,9.83,True,TP
12,2026-04-07T05:58:22.003Z,0.000071,124.010,True,True,2,5,True,1d:15,3,86.5,73.8,40.71,3.09,76.27,-31.36,-22.18,62.99,77.52,76.37,13.28,True,TP
13,2026-04-07T05:58:23.006Z,0.000111,129.712,False,False,2,5,True,1d:4,0,89.0,74.6,41.89,3.38,78.41,-30.28,-18.14,65.72,76.37,75.31,12.69,True,TP
14,2026-04-07T05:58:23.503Z,0.000391,71.263,False,False,2,5,True,3x3,3,93.9,67.0,43.08,13.01,82.38,-23.56,-12.51,61.42,74.37,71.36,20.96,False,FP
15,2026-04-07T05:58:26.507Z,0.000614,69.517,True,False,2,5,True,1d:4,3,92.2,67.8,44.25,8.21,80.52,-32.49,-10.62,58.54,82.02,79.02,21.98,False,FP
16,2026-04-07T05:58:27.004Z,0.000580,127.686,True,True,2,5,True,3x3,3,95.4,69.4,43.95,8.51,84.21,-29.62,-7.78,62.27,78.48,75.35,21.94,True,TP
17,2026-04-07T05:58:29.565Z,0.000575,72.052,False,False,1,5,False,1d:15,3,96.1,67.5,44.83,3.96,84.95,-15.25,-5.21,65.58,63.79,60.78,19.37,False,TN
18,2026-04-07T05:58:31.011Z,0.000029,74.604,False,False,1,5,False,4x4,1,92.9,65.7,44.83,3.93,81.29,-13.07,5.84,64.13,60.42,57.93,17.16,False,TN
19,2026-04-07T05:58:35.001Z,0.000032,71.121,False,False,1,5,False,1d:2,2,91.8,68.3,42.08,7.15,81.34,-17.95,10.07,65.08,62.26,60.10,16.26,False,TN
20,2026-04-07T05:58:35.504Z,0.000064,123.192,True,True,2,5,True,4x4,3,95.4,67.8,42.31,15.31,84.13,-8.17,8.51,66.72,53.83,50.94,17.41,True,TP
21,2026-04-07T05:58:39.007Z,0.000122,71.542,False,False,1,5,False,1d:4,1,94.7,67.0,41.17,18.17,83.30,-12.19,12.95,64.61,56.78,53.61,18.69,False,TN
22,2026-04-07T05:58:40.501Z,0.000531,74.925,False,False,1,5,False,4x4,2,93.8,74.1,38.44,23.40,82.29,-23.96,14.72,68.52,64.49,63.00,13.77,False,TN
23,2026-04-07T05:58:41.008Z,0.000050,71.992,False,False,1,5,False,4x4,2,93.0,73.2,41.02,18.50,81.38,-27.51,9.62,67.15,70.55,69.10,14.23,False,TN
24,2026-04-07T05:58:43.504Z,0.000022,70.192,True,False,1,5,False,1d:2,1,96.9,78.5,38.77,12.49,87.91,-33.67,13.72,69.59,74.73,72.45,18.32,True,FN
25,2026-04-07T05:58:46.501Z,0.000038,73.963,False,False,0,5,False,4x4,3,95.5,76.0,40.82,18.93,84.27,-26.42,35.71,61.66,72.90,69.30,22.61,False,TN
26,2026-04-07T05:58:49.507Z,0.000308,73.515,False,False,0,5,False,4x4,1,93.5,72.6,41.56,14.70,82.42,-22.85,30.61,61.70,69.51,66.35,20.72,False,TN
27,2026-04-07T05:58:51.001Z,0.000597,76.474,False,False,0,5,False,4x4,3,92.6,71.5,43.65,10.95,80.95,-17.14,31.59,61.83,66.99,64.20,19.12,False,TN
