fusion_id,utc_iso,dt_s,max_temp,imagery_fire,raw_signal,window_confirmations,window_fill,decision,thermal_shape,num_detections,thermal_distance_m,imagery_distance_m,thermal_x,thermal_y,thermal_z,imagery_x,imagery_y,imagery_z,inter_drone_dist_m,separation_xy_m,separation_dz_m,fire_window,hit_miss
0,2026-04-07T08:06:47.601Z,0.001450,131.890,True,True,1,1,False,1d:8,3,73.5,86.4,34.69,13.75,63.38,-24.16,-13.41,81.90,67.41,64.82,18.52,True,FN
1,2026-04-07T08:06:51.606Z,0.000172,73.987,True,False,1,2,False,4x4,3,76.1,75.6,30.75,30.46,62.57,-21.87,-5.85,72.16,64.65,63.93,9.59,False,TN
2,2026-04-07T08:06:54.696Z,0.000029,74.402,False,False,1,3,False,2x4,1,75.0,77.7,25.22,24.49,66.27,-23.02,3.18,74.17,53.33,52.74,7.90,False,TN
3,2026-04-07T08:06:58.106Z,0.000028,133.651,True,True,2,4,True,3x3,3,75.4,74.0,18.81,26.78,67.90,-16.18,4.06,72.10,41.93,41.72,4.20,True,TP
4,2026-04-07T08:06:58.780Z,0.000012,71.908,False,False,2,5,True,1d:8,1,73.7,72.0,14.57,27.68,66.70,-13.50,0.12,70.75,39.55,39.34,4.05,False,FP
5,2026-04-07T08:07:04.005Z,0.000026,73.025,False,False,1,5,False,1d:4,2,80.5,70.5,9.97,37.92,70.31,-8.19,-7.27,69.62,48.71,48.70,0.69,False,TN
6,2026-04-07T08:07:04.614Z,0.000003,133.105,True,True,2,5,True,1d:15,2,80.5,67.8,9.62,37.87,70.36,-3.46,-8.48,67.12,48.27,48.16,3.24,True,TP
7,2026-04-07T08:07:09.610Z,0.000013,73.020,False,False,2,5,True,1d:15,1,80.0,63.9,4.18,36.31,71.13,-7.82,-16.31,61.24,54.87,53.97,9.89,False,FP
8,2026-04-07T08:07:10.605Z,0.000006,71.657,False,False,1,5,False,2x2,1,81.4,61.1,9.18,41.20,69.59,-6.13,-23.89,55.86,68.26,66.87,13.73,False,TN
9,2026-04-07T08:07:15.506Z,0.000111,128.769,True,True,2,5,True,3x3,2,76.9,55.0,11.41,42.59,63.04,-14.04,-19.80,49.32,68.76,67.38,13.72,True,TP
10,2026-04-07T08:07:15.613Z,0.000076,73.401,False,False,2,5,True,4x4,1,79.2,56.4,4.21,44.55,65.29,-9.89,-22.99,50.53,70.56,69.00,14.76,False,FP
11,2026-04-07T08:07:16.619Z,0.000001,75.567,False,False,1,5,False,4x4,1,74.1,62.0,-5.34,38.92,62.78,-18.14,-23.41,54.43,64.18,63.63,8.35,False,TN
12,2026-04-07T08:07:22.005Z,0.000045,75.650,False,False,1,5,False,1d:8,2,75.2,59.8,-3.44,39.91,63.66,-19.51,-21.84,52.12,64.84,63.81,11.54,False,TN
13,2026-04-07T08:07:23.006Z,0.000046,73.348,False,False,1,5,False,3x3,0,74.5,60.8,1.40,40.87,62.23,-28.54,-17.08,50.88,66.21,65.23,11.35,True,FN
14,2026-04-07T08:07:23.538Z,0.000045,72.640,False,False,0,5,False,4x4,2,69.1,60.9,-2.50,39.50,56.64,-27.53,-14.73,52.28,59.89,59.73,4.36,False,TN
15,2026-04-07T08:07:24.162Z,0.000008,71.013,False,False,0,5,False,2x4,1,72.0,63.2,-7.11,43.54,56.91,-25.55,-17.23,55.19,63.53,63.51,1.72,False,TN
16,2026-04-07T08:07:28.505Z,0.000008,74.306,False,False,0,5,False,2x4,1,73.9,63.5,-9.78,43.92,58.60,-26.31,-11.81,56.57,58.17,58.13,2.03,False,TN
17,2026-04-07T08:07:30.009Z,0.000032,71.641,True,False,0,5,False,2x2,2,75.7,62.2,-11.66,33.79,66.70,-30.01,-4.49,54.35,44.21,42.45,12.35,True,FN
18,2026-04-07T08:07:31.602Z,0.000020,71.605,False,False,0,5,False,2x4,3,74.2,66.2,-18.49,37.06,61.53,-34.95,8.76,55.53,33.28,32.74,6.00,False,TN
19,2026-04-07T08:07:34.104Z,0.000006,130.255,False,False,0,5,False,2x4,1,76.1,72.8,-14.86,36.73,65.01,-40.06,5.57,60.50,40.33,40.07,4.51,False,TN
20,2026-04-07T08:07:39.009Z,0.000016,134.558,True,True,1,5,False,4x4,3,77.4,67.6,-23.53,38.36,63.01,-32.72,-0.86,59.15,40.47,40.28,3.86,True,FN
21,2026-04-07T08:07:39.109Z,0.000010,72.850,False,False,1,5,False,2x4,1,78.3,64.2,-29.89,33.64,64.14,-26.64,8.93,57.71,25.74,24.92,6.43,False,TN
22,2026-04-07T08:07:44.004Z,0.000013,74.077,False,False,1,5,False,4x4,0,80.9,66.5,-29.91,29.92,69.00,-36.38,7.19,55.22,27.36,23.63,13.78,False,TN
23,2026-04-07T08:07:44.606Z,0.000000,134.974,True,True,2,5,True,2x4,2,86.8,64.8,-21.42,35.65,76.25,-40.49,-0.76,50.52,48.49,41.10,25.73,True,TP
