fusion_id,utc_iso,dt_s,max_temp,imagery_fire,raw_signal,window_confirmations,window_fill,decision,thermal_shape,num_detections,thermal_distance_m,imagery_distance_m,thermal_x,thermal_y,thermal_z,imagery_x,imagery_y,imagery_z,inter_drone_dist_m,separation_xy_m,separation_dz_m,fire_window,hit_miss
0,2026-04-07T10:12:21.154Z,0.000038,129.012,True,True,1,1,False,2x2,3,66.9,84.6,31.39,5.25,58.88,-23.33,-20.70,78.65,63.71,60.56,19.77,True,FN
1,2026-04-07T10:12:22.007Z,0.000035,133.838,True,True,2,2,True,3x3,3,62.8,80.9,29.21,1.67,55.61,-16.21,-24.28,75.43,55.94,52.31,19.82,True,TP
2,2026-04-07T10:12:27.006Z,0.000040,74.041,False,False,2,3,True,3x3,3,63.1,87.0,29.41,0.71,55.78,-20.35,-35.65,76.67,65.07,61.63,20.89,False,FP
3,2026-04-07T10:12:30.506Z,0.000177,76.661,False,False,2,4,True,4x4,0,58.6,91.9,21.89,5.37,54.11,-26.35,-27.02,83.77,65.24,58.11,29.66,False,FP
4,2026-04-07T10:12:33.508Z,0.000062,72.063,False,False,2,5,True,2x4,1,68.3,94.9,24.51,-11.46,62.69,-22.94,-15.37,90.81,55.29,47.61,28.12,False,FP
5,2026-04-07T10:12:36.003Z,0.000041,71.108,False,False,1,5,False,2x2,2,69.6,98.2,25.78,-5.64,64.44,-27.29,-13.74,93.36,60.98,53.68,28.92,False,TN
6,2026-04-07T10:12:38.509Z,0.000029,128.064,True,True,1,5,False,1d:4,3,71.8,93.0,28.15,-3.01,65.97,-23.65,-15.34,88.57,57.84,53.25,22.60,True,FN
7,2026-04-07T10:12:42.509Z,0.000003,71.821,False,False,1,5,False,2x2,1,62.2,93.4,18.66,4.94,59.12,-20.78,-14.50,89.94,53.70,43.97,30.82,False,TN
8,2026-04-07T10:12:47.507Z,0.000022,72.188,False,False,1,5,False,1d:4,1,66.6,95.6,24.59,-7.70,61.38,-30.83,-8.84,90.08,62.42,55.43,28.70,False,TN
9,2026-04-07T10:12:49.007Z,0.000041,68.330,False,False,1,5,False,1d:2,2,64.1,91.7,21.25,-13.13,59.07,-26.14,-10.12,87.30,55.24,47.49,28.23,False,TN
10,2026-04-07T10:12:50.008Z,0.000089,132.274,True,True,2,5,True,4x4,3,69.2,86.4,27.13,-23.77,59.05,-11.38,-12.36,84.74,47.68,40.16,25.69,True,TP
11,2026-04-07T10:12:53.003Z,0.000098,126.983,False,False,1,5,False,2x4,3,64.3,93.9,28.07,-9.64,57.10,-7.95,-22.26,90.88,50.97,38.17,33.78,False,TN
12,2026-04-07T10:12:53.004Z,0.000055,71.834,False,False,1,5,False,4x4,0,68.2,92.6,31.37,-15.14,58.58,1.34,-11.83,91.82,44.92,30.21,33.24,False,TN
13,2026-04-07T10:12:58.004Z,0.000059,130.402,True,True,2,5,True,4x4,3,63.2,93.6,23.29,-13.33,57.17,-4.53,-24.18,90.34,44.63,29.86,33.17,True,TP
14,2026-04-07T10:12:59.502Z,0.000064,129.949,False,False,2,5,True,1d:8,3,62.3,99.6,25.16,-15.22,54.93,4.97,-31.02,94.53,47.17,25.64,39.60,False,FP
15,2026-04-07T10:13:00.003Z,0.000020,72.118,False,False,1,5,False,1d:15,2,62.2,98.3,24.07,-20.84,53.40,6.17,-28.63,93.82,44.89,19.52,40.42,False,TN
16,2026-04-07T10:13:01.002Z,0.000004,73.134,False,False,1,5,False,4x4,1,64.5,96.6,26.44,-26.93,52.31,-1.48,-23.26,93.75,50.10,28.16,41.44,False,TN
17,2026-04-07T10:13:06.007Z,0.000058,130.639,False,False,1,5,False,3x3,0,67.5,98.5,27.36,-35.33,50.60,-2.50,-18.12,96.75,57.60,34.46,46.15,True,FN
18,2026-04-07T10:13:07.006Z,0.000059,73.804,False,False,0,5,False,1d:15,0,60.5,106.1,31.38,-31.25,41.19,-0.45,-25.70,102.92,69.67,32.31,61.73,False,TN
19,2026-04-07T10:13:10.509Z,0.000083,73.879,False,False,0,5,False,3x3,0,64.7,104.4,32.81,-30.79,46.53,11.60,-33.84,98.10,55.84,21.43,51.57,False,TN
20,2026-04-07T10:13:10.511Z,0.000061,68.308,True,False,0,5,False,1d:2,2,57.9,99.0,17.52,-19.90,51.41,-7.91,-30.22,93.96,50.63,27.44,42.55,True,FN
21,2026-04-07T10:13:16.002Z,0.001461,72.906,False,False,0,5,False,1d:15,0,62.1,106.6,13.07,-21.14,56.94,-6.66,-25.89,103.18,50.50,20.29,46.24,False,TN
22,2026-04-07T10:13:16.005Z,0.001194,72.727,False,False,0,5,False,1d:15,2,63.4,103.8,15.08,-24.23,56.64,-2.63,-22.43,101.30,48.08,17.80,44.66,False,TN
23,2026-04-07T10:13:17.507Z,0.000014,135.894,True,True,1,5,False,3x3,3,61.1,106.4,15.27,-18.06,56.30,-7.06,-27.69,102.50,52.21,24.32,46.20,True,FN
