fusion_id,utc_iso,dt_s,max_temp,imagery_fire,raw_signal,window_confirmations,window_fill,decision,thermal_shape,num_detections,thermal_distance_m,imagery_distance_m,fire_window,hit_miss
0,2026-03-04T06:55:23.688Z,0.042589,129.012,True,True,1,1,False,2x2,3,66.9,84.6,True,FN
1,2026-03-04T06:55:24.015Z,0.000013,125.686,True,True,2,2,True,1d:15,3,65.5,81.5,True,TP
2,2026-03-04T06:55:29.001Z,0.000025,129.456,True,True,3,3,True,2x4,3,63.7,83.7,True,TP
3,2026-03-04T06:55:31.503Z,0.000168,70.881,False,False,3,4,True,3x3,1,60.3,85.3,False,FP
4,2026-03-04T06:55:33.515Z,0.000389,76.661,False,False,3,5,True,4x4,0,58.6,91.9,False,FP
5,2026-03-04T06:55:34.012Z,0.000001,125.873,False,False,2,5,True,3x3,1,63.4,98.9,True,TP
6,2026-03-04T06:55:39.002Z,0.000010,71.108,False,False,1,5,False,2x2,2,69.6,98.2,False,TN
7,2026-03-04T06:55:43.513Z,0.000017,128.064,True,True,1,5,False,1d:4,3,71.8,93.0,True,FN
8,2026-03-04T06:55:46.004Z,0.000037,72.951,False,False,1,5,False,2x4,3,66.9,90.7,False,TN
9,2026-03-04T06:55:48.504Z,0.000044,72.114,False,False,1,5,False,2x2,3,63.3,91.7,False,TN
10,2026-03-04T06:55:49.514Z,0.000009,136.621,True,True,2,5,True,1d:4,3,65.2,90.2,True,TP
11,2026-03-04T06:55:50.017Z,0.000005,130.214,True,True,3,5,True,4x4,2,67.7,87.2,True,TP
12,2026-03-04T06:55:51.512Z,0.000002,127.994,False,False,2,5,True,2x2,1,67.8,90.5,False,FP
13,2026-03-04T06:55:56.514Z,0.000015,73.879,False,False,2,5,True,4x4,3,63.6,95.4,False,FP
14,2026-03-04T06:55:58.511Z,0.000055,71.608,False,False,2,5,True,1d:2,0,64.7,93.4,False,FP
15,2026-03-04T06:55:59.014Z,0.000042,129.949,False,False,1,5,False,1d:8,3,62.3,99.6,False,TN
16,2026-03-04T06:56:04.001Z,0.000043,71.692,False,False,0,5,False,2x2,3,60.6,100.4,False,TN
17,2026-03-04T06:56:05.014Z,0.000033,135.133,False,False,0,5,False,2x4,0,66.5,100.5,True,FN
18,2026-03-04T06:56:05.511Z,0.000003,131.106,True,True,1,5,False,2x4,1,67.2,103.6,True,FN
19,2026-03-04T06:56:10.511Z,0.000005,132.109,True,True,2,5,True,3x3,2,65.8,107.0,True,TP
20,2026-03-04T06:56:11.011Z,0.000006,129.590,False,False,2,5,True,4x4,3,64.5,102.8,False,FP
21,2026-03-04T06:56:16.003Z,0.000011,128.364,True,True,3,5,True,3x3,3,54.2,99.9,True,TP
22,2026-03-04T06:56:19.502Z,0.000075,75.908,False,False,3,5,True,4x4,3,58.4,103.2,False,FP
23,2026-03-04T06:56:21.016Z,0.000057,132.835,True,True,3,5,True,4x4,2,64.4,107.1,True,TP
24,2026-03-04T06:56:23.018Z,0.000016,72.138,False,False,2,5,True,3x3,3,65.9,109.0,False,FP
25,2026-03-04T06:56:28.514Z,0.000023,125.197,True,True,3,5,True,2x2,2,67.9,121.1,True,TP
26,2026-03-04T06:56:33.005Z,0.000045,128.427,False,False,2,5,True,4x4,0,64.3,115.9,True,TP
27,2026-03-04T06:56:34.002Z,0.000179,72.499,False,False,2,5,True,1d:4,2,60.2,116.1,False,FP
28,2026-03-04T06:56:35.013Z,0.000019,72.129,False,False,1,5,False,1d:2,2,70.1,111.3,False,TN
29,2026-03-04T06:56:38.512Z,0.000013,127.766,True,True,2,5,True,4x4,1,71.7,110.2,True,TP
30,2026-03-04T06:56:40.515Z,0.000006,70.236,False,False,1,5,False,1d:2,0,68.9,111.2,False,TN
31,2026-03-04T06:56:45.502Z,0.000019,130.139,True,True,2,5,True,3x3,3,75.2,109.5,True,TP
32,2026-03-04T06:56:49.002Z,0.000030,71.824,False,False,2,5,True,3x3,1,76.6,109.3,False,FP
33,2026-03-04T06:56:53.012Z,0.000078,71.657,False,False,2,5,True,4x4,0,78.9,112.2,False,FP
34,2026-03-04T06:56:54.517Z,0.000002,129.315,True,True,2,5,True,2x2,1,79.5,105.6,True,TP
35,2026-03-04T06:57:00.001Z,0.000007,122.136,False,False,2,5,True,4x4,3,80.6,108.8,False,FP
36,2026-03-04T06:57:00.012Z,0.000002,127.999,True,True,2,5,True,3x3,2,78.2,113.0,True,TP
37,2026-03-04T06:57:05.002Z,0.000009,71.663,False,False,2,5,True,2x4,1,74.5,115.9,False,FP
38,2026-03-04T06:57:05.513Z,0.000005,73.630,False,False,2,5,True,4x4,2,78.5,119.1,False,FP
39,2026-03-04T06:57:10.501Z,0.000012,127.555,True,True,2,5,True,1d:8,2,83.8,107.7,True,TP
40,2026-03-04T06:57:12.512Z,0.000000,70.016,False,False,2,5,True,2x2,2,83.7,102.8,False,FP
41,2026-03-04T06:57:17.503Z,0.000006,73.645,False,False,1,5,False,4x4,2,81.0,102.7,False,TN
42,2026-03-04T06:57:19.002Z,0.000530,73.241,True,False,1,5,False,4x4,2,87.2,107.5,True,FN
43,2026-03-04T06:57:19.012Z,0.000035,74.397,False,False,1,5,False,4x4,0,86.2,112.9,False,TN
44,2026-03-04T06:57:24.001Z,0.000069,70.151,False,False,0,5,False,2x4,3,89.0,107.9,False,TN
45,2026-03-04T06:57:24.013Z,0.000050,127.106,True,True,1,5,False,1d:8,1,91.8,107.6,True,FN
46,2026-03-04T06:57:28.511Z,0.000032,71.652,False,False,1,5,False,1d:15,2,95.2,113.2,False,TN
47,2026-03-04T06:57:32.015Z,0.000001,73.407,True,False,1,5,False,2x4,3,96.9,107.8,True,FN
48,2026-03-04T06:57:37.004Z,0.000010,70.509,False,False,1,5,False,1d:4,1,98.6,104.9,False,TN
49,2026-03-04T06:57:41.001Z,0.000163,71.928,True,False,1,5,False,4x4,1,103.5,99.8,False,TN
50,2026-03-04T06:57:41.513Z,0.000113,130.028,True,True,1,5,False,4x4,1,100.1,94.6,True,FN
51,2026-03-04T06:57:43.011Z,0.000043,72.819,False,False,1,5,False,1d:15,1,105.2,95.3,False,TN
52,2026-03-04T06:57:44.513Z,0.000016,72.270,False,False,1,5,False,1d:8,1,105.4,99.1,False,TN
53,2026-03-04T06:57:49.504Z,0.000074,130.950,True,True,2,5,True,3x3,1,103.8,96.3,True,TP
54,2026-03-04T06:57:50.515Z,0.000003,126.603,True,True,3,5,True,4x4,2,101.8,96.0,True,TP
55,2026-03-04T06:57:55.504Z,0.000136,71.055,False,False,2,5,True,2x4,3,100.2,92.8,False,FP
56,2026-03-04T06:57:56.013Z,0.000110,72.846,True,False,2,5,True,1d:4,2,99.3,91.9,True,TP
57,2026-03-04T06:57:57.012Z,0.000056,129.544,True,True,3,5,True,3x3,2,101.8,92.0,True,TP
58,2026-03-04T06:57:58.515Z,0.000005,128.940,True,True,3,5,True,2x4,2,101.1,92.7,True,TP
59,2026-03-04T06:58:04.004Z,0.000007,73.312,False,False,2,5,True,2x4,1,101.7,103.4,False,FP
60,2026-03-04T06:58:06.516Z,0.000005,132.550,True,True,3,5,True,2x4,1,97.8,99.8,True,TP
61,2026-03-04T06:58:11.505Z,0.000041,71.239,False,False,3,5,True,1d:8,2,97.4,95.0,False,FP
62,2026-03-04T06:58:12.503Z,0.000335,72.451,False,False,2,5,True,2x4,1,96.5,93.8,False,FP
63,2026-03-04T06:58:12.515Z,0.000033,72.302,False,False,1,5,False,2x4,0,91.6,87.5,True,FN
64,2026-03-04T06:58:13.515Z,0.000013,130.151,True,True,2,5,True,3x3,2,91.1,85.0,True,TP
65,2026-03-04T06:58:17.013Z,0.000010,72.372,True,False,1,5,False,2x2,2,90.6,85.5,False,TN
66,2026-03-04T06:58:19.012Z,0.000010,74.007,False,False,1,5,False,4x4,2,89.8,85.7,False,TN
