fusion_id,utc_iso,dt_s,max_temp,imagery_fire,raw_signal,window_confirmations,window_fill,decision,thermal_shape,num_detections,thermal_distance_m,imagery_distance_m,fire_window,hit_miss
0,2026-03-04T08:20:55.877Z,0.255046,123.516,True,True,1,1,False,1d:4,2,65.9,84.4,True,FN
1,2026-03-04T08:20:56.009Z,0.240508,129.883,True,True,2,2,True,3x3,2,66.8,84.4,True,TP
2,2026-03-04T08:20:56.613Z,0.005266,125.237,False,False,2,3,True,1d:8,0,64.8,82.2,True,TP
3,2026-03-04T08:20:57.113Z,0.000033,130.851,False,False,2,4,True,1d:4,0,63.3,81.5,True,TP
4,2026-03-04T08:21:02.003Z,0.000416,71.178,False,False,2,5,True,2x4,0,58.1,82.3,False,FP
5,2026-03-04T08:21:03.113Z,0.000034,72.285,False,False,1,5,False,3x3,2,60.6,86.5,False,TN
6,2026-03-04T08:21:04.606Z,0.000021,128.779,True,True,1,5,False,2x2,1,55.0,83.7,True,FN
7,2026-03-04T08:21:05.109Z,0.000000,129.703,False,False,1,5,False,2x4,1,52.1,85.8,True,FN
8,2026-03-04T08:21:10.002Z,0.000023,130.771,True,True,2,5,True,2x4,3,53.0,85.3,True,TP
9,2026-03-04T08:21:11.011Z,0.000028,72.739,False,False,2,5,True,3x3,1,55.8,84.2,False,FP
10,2026-03-04T08:21:12.613Z,0.000003,126.601,True,True,3,5,True,2x4,1,61.0,83.0,True,TP
11,2026-03-04T08:21:17.612Z,0.000150,75.708,False,False,2,5,True,2x2,1,60.9,83.0,False,FP
12,2026-03-04T08:21:20.608Z,0.000298,128.710,False,False,2,5,True,2x4,0,58.4,78.0,False,FP
13,2026-03-04T08:21:25.002Z,0.000948,130.557,False,False,1,5,False,4x4,0,53.4,83.1,True,FN
14,2026-03-04T08:21:25.613Z,0.000517,72.520,False,False,1,5,False,3x3,2,46.8,85.4,False,TN
15,2026-03-04T08:21:26.119Z,0.000478,69.675,False,False,0,5,False,2x2,2,45.5,85.5,False,TN
16,2026-03-04T08:21:27.603Z,0.000171,132.923,True,True,1,5,False,1d:2,2,42.8,82.8,True,FN
17,2026-03-04T08:21:29.116Z,0.000002,135.289,False,False,1,5,False,1d:8,1,39.0,87.0,True,FN
18,2026-03-04T08:21:34.006Z,0.000058,72.984,False,False,1,5,False,4x4,2,36.8,87.1,False,TN
19,2026-03-04T08:21:36.005Z,0.000617,69.374,False,False,1,5,False,1d:2,1,38.0,85.0,False,TN
